DATAYEARS,CO_DIST,DISTRICT_NAME,COUNTY_NAME,CLASS_CODE,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SCHOOL_NAME,GRADE_CODE,F_WH,M_WH,F_BL,M_BL,F_HI,M_HI,F_AS,M_AS,F_AM,M_AM,F_PI,M_PI,F_MU,M_MU,Female_total,Male_total,Total
20102011,01-0003,KENESAW PUBLIC SCHOOLS        ,ADAMS,3,P,01-0003-002,01,0003,002,KENESAW ELEMENTARY SCHOOL     ,PK,6,9,0,0,0,1,0,0,0,0,0,0,0,0,6,10,16
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102011,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,09,79,97,1,2,12,21,3,4,1,0,0,0,2,1,98,125,223
