DATAYEARS,Co-Dist,DISTNAME,COUNTY_NAME,CLASS_CODE,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SchoolName,GRADE_CODE,FWNH,MWNH,FAPI,MAPI,FH,MH,FAIA,MAIA,FBNH,MBNH,Male,Female,TOTAL
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,02,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,03,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,04,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,05,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,06,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,07,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,08,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,09,97,96,4,3,17,21,2,0,5,3,123,125,248
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,10,90,84,2,0,18,25,1,1,1,4,114,112,226
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,11,102,84,3,3,12,15,1,3,2,2,107,120,227
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,12,102,95,4,3,24,24,0,1,2,1,124,132,256
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,K ,0,0,0,0,0,0,0,0,0,0,0,0,0
20092010,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0
