CoDist	DistName	CoDistSch	SchName	Grade	FWNH	MWNH	FAPI	MAPI	FH	MH	FAIA	MAIA	FBNH	MBNH	Female	Male	Total
00-0004	EDUCATIONAL SERVICE UNIT 04	00-0004-006	NE CENTER FOR EDUC OF BLIND	03	0	2	0	0	0	0	0	0	0	0	0	2	2

00-0004	EDUCATIONAL SERVICE UNIT 04	00-0004-006	NE CENTER FOR EDUC OF BLIND	07	1	1	0	0	0	0	0	0	0	0	1	1	2

00-0004	EDUCATIONAL SERVICE UNIT 04	00-0004-006	NE CENTER FOR EDUC OF BLIND	08	1	1	0	0	0	0	0	0	0	0	1	1	2

00-0004	EDUCATIONAL SERVICE UNIT 04	00-0004-006	NE CENTER FOR EDUC OF BLIND	09	0	1	0	0	0	1	0	0	0	0	0	2	2

00-0004	EDUCATIONAL SERVICE UNIT 04	00-0004-006	NE CENTER FOR EDUC OF BLIND	10	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0004	EDUCATIONAL SERVICE UNIT 04	00-0004-006	NE CENTER FOR EDUC OF BLIND	11	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0004	EDUCATIONAL SERVICE UNIT 04	00-0004-006	NE CENTER FOR EDUC OF BLIND	12	1	3	0	0	0	0	0	0	0	0	1	3	4

00-0005	EDUCATIONAL SERVICE UNIT 05	00-0005-001	EDUCATIONAL SERVICE UNIT 5	PK	13	14	0	0	0	0	0	0	0	0	13	14	27

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-001	EASTERN LEARNING CENTER	PK	6	7	0	0	0	0	0	0	0	0	6	7	13

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-001	EASTERN LEARNING CENTER	K	1	1	0	0	0	2	0	0	0	0	1	3	4

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-001	EASTERN LEARNING CENTER	01	1	1	0	0	0	0	0	0	0	0	1	1	2

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-001	EASTERN LEARNING CENTER	02	1	2	0	0	1	0	0	0	0	0	2	2	4

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-001	EASTERN LEARNING CENTER	03	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-001	EASTERN LEARNING CENTER	04	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-001	EASTERN LEARNING CENTER	05	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-001	EASTERN LEARNING CENTER	06	2	1	0	0	0	0	0	0	0	0	2	1	3

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-001	EASTERN LEARNING CENTER	07	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-001	EASTERN LEARNING CENTER	09	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-001	EASTERN LEARNING CENTER	10	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-001	EASTERN LEARNING CENTER	11	0	4	0	0	0	0	0	0	0	0	0	4	4

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-001	EASTERN LEARNING CENTER	12	2	1	0	0	0	0	0	0	0	0	2	1	3

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-002	CENTRAL LEARNING CENTER	PK	2	2	0	0	1	2	0	0	0	0	3	4	7

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-002	CENTRAL LEARNING CENTER	04	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-002	CENTRAL LEARNING CENTER	07	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-002	CENTRAL LEARNING CENTER	08	1	0	0	0	0	0	0	0	0	0	1	0	1

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-002	CENTRAL LEARNING CENTER	09	0	1	0	0	0	0	0	0	0	0	0	1	1

00-0008	EDUCATIONAL SERVICE UNIT 08	00-0008-002	CENTRAL LEARNING CENTER	10	1	2	0	0	0	0	0	0	0	0	1	2	3

