CoDist	DistName	CoDistSch	SchName	Grade	FWNH	MWNH	FAPI	MAPI	FH	MH	FAIA	MAIA	FBNH	MBNH	Female	Male	Total

18-0002	SUTTON PUBLIC SCHOOLS	18-0002-002	SUTTON ELEMENTARY SCHOOL	03	18	12	0	0	2	1	0	0	0	0	20	13	33

18-0002	SUTTON PUBLIC SCHOOLS	18-0002-002	SUTTON ELEMENTARY SCHOOL	04	10	15	0	0	0	0	0	0	0	0	10	15	25

18-0002	SUTTON PUBLIC SCHOOLS	18-0002-002	SUTTON ELEMENTARY SCHOOL	05	14	14	0	0	2	3	0	0	0	0	16	17	33

18-0002	SUTTON PUBLIC SCHOOLS	18-0002-002	SUTTON ELEMENTARY SCHOOL	06	19	14	0	0	1	0	0	0	0	0	20	14	34

18-0011	HARVARD PUBLIC SCHOOLS	18-0011-001	HARVARD HIGH SCHOOL	07	9	5	0	0	4	4	0	0	0	0	13	9	22

18-0011	HARVARD PUBLIC SCHOOLS	18-0011-001	HARVARD HIGH SCHOOL	08	6	8	0	0	4	2	0	0	0	1	10	11	21

18-0011	HARVARD PUBLIC SCHOOLS	18-0011-001	HARVARD HIGH SCHOOL	09	8	6	0	0	2	1	0	0	0	0	10	7	17

18-0011	HARVARD PUBLIC SCHOOLS	18-0011-001	HARVARD HIGH SCHOOL	10	10	10	0	0	1	2	0	0	0	0	11	12	23

18-0011	HARVARD PUBLIC SCHOOLS	18-0011-001	HARVARD HIGH SCHOOL	11	7	17	0	0	2	5	0	0	0	0	9	22	31

18-0011	HARVARD PUBLIC SCHOOLS	18-0011-001	HARVARD HIGH SCHOOL	12	18	14	0	1	1	0	0	0	0	0	19	15	34

18-0011	HARVARD PUBLIC SCHOOLS	18-0011-002	HARVARD ELEMENTARY SCHOOL	PK	3	4	0	0	0	3	0	0	0	0	3	7	10

18-0011	HARVARD PUBLIC SCHOOLS	18-0011-002	HARVARD ELEMENTARY SCHOOL	K	6	3	0	0	7	3	0	0	0	0	13	6	19

18-0011	HARVARD PUBLIC SCHOOLS	18-0011-002	HARVARD ELEMENTARY SCHOOL	01	8	8	0	1	2	4	0	0	0	0	10	13	23

18-0011	HARVARD PUBLIC SCHOOLS	18-0011-002	HARVARD ELEMENTARY SCHOOL	02	4	5	0	0	3	2	0	0	0	0	7	7	14

18-0011	HARVARD PUBLIC SCHOOLS	18-0011-002	HARVARD ELEMENTARY SCHOOL	03	4	9	0	0	2	5	0	0	1	0	7	14	21

18-0011	HARVARD PUBLIC SCHOOLS	18-0011-002	HARVARD ELEMENTARY SCHOOL	04	7	9	0	0	1	0	0	0	0	0	8	9	17

18-0011	HARVARD PUBLIC SCHOOLS	18-0011-002	HARVARD ELEMENTARY SCHOOL	05	6	6	0	0	4	5	0	0	0	0	10	11	21

18-0011	HARVARD PUBLIC SCHOOLS	18-0011-002	HARVARD ELEMENTARY SCHOOL	06	7	7	0	0	5	3	0	0	0	0	12	10	22

18-0070	CLAY CENTER PUBLIC SCHOOLS	18-0070-001	CLAY CENTER HIGH SCHOOL	07	10	3	0	0	1	1	0	0	0	0	11	4	15

18-0070	CLAY CENTER PUBLIC SCHOOLS	18-0070-001	CLAY CENTER HIGH SCHOOL	08	10	6	0	0	0	0	0	0	0	0	10	6	16

18-0070	CLAY CENTER PUBLIC SCHOOLS	18-0070-001	CLAY CENTER HIGH SCHOOL	09	4	10	0	2	1	0	0	0	0	0	5	12	17

18-0070	CLAY CENTER PUBLIC SCHOOLS	18-0070-001	CLAY CENTER HIGH SCHOOL	10	14	7	0	0	0	0	0	0	0	0	14	7	21

18-0070	CLAY CENTER PUBLIC SCHOOLS	18-0070-001	CLAY CENTER HIGH SCHOOL	11	8	5	0	0	1	0	0	0	0	0	9	5	14

18-0070	CLAY CENTER PUBLIC SCHOOLS	18-0070-001	CLAY CENTER HIGH SCHOOL	12	13	11	0	1	0	1	0	0	0	0	13	13	26

18-0070	CLAY CENTER PUBLIC SCHOOLS	18-0070-002	CLAY CENTER ELEMENTARY SCHOOL	K	3	9	0	0	0	0	0	0	0	0	3	9	12

18-0070	CLAY CENTER PUBLIC SCHOOLS	18-0070-002	CLAY CENTER ELEMENTARY SCHOOL	01	8	9	0	0	0	0	0	0	1	0	9	9	18

18-0070	CLAY CENTER PUBLIC SCHOOLS	18-0070-002	CLAY CENTER ELEMENTARY SCHOOL	02	3	7	0	0	0	1	0	0	1	0	4	8	12

18-0070	CLAY CENTER PUBLIC SCHOOLS	18-0070-002	CLAY CENTER ELEMENTARY SCHOOL	03	7	3	1	0	0	0	0	0	0	0	8	3	11

18-0070	CLAY CENTER PUBLIC SCHOOLS	18-0070-002	CLAY CENTER ELEMENTARY SCHOOL	04	8	4	0	0	1	0	0	0	0	0	9	4	13

18-0070	CLAY CENTER PUBLIC SCHOOLS	18-0070-002	CLAY CENTER ELEMENTARY SCHOOL	05	4	2	0	0	1	0	0	0	0	0	5	2	7

18-0070	CLAY CENTER PUBLIC SCHOOLS	18-0070-002	CLAY CENTER ELEMENTARY SCHOOL	06	8	11	0	0	0	0	0	0	0	0	8	11	19

18-0701	SUTTON CHRISTIAN SCHOOL	18-0701-001	SUTTON CHRISTIAN SCHOOL	K	2	3	0	0	0	0	0	0	0	0	2	3	5

18-0701	SUTTON CHRISTIAN SCHOOL	18-0701-001	SUTTON CHRISTIAN SCHOOL	01	1	4	0	0	0	0	0	0	0	0	1	4	5

18-0701	SUTTON CHRISTIAN SCHOOL	18-0701-001	SUTTON CHRISTIAN SCHOOL	02	0	3	0	0	0	0	0	0	0	0	0	3	3

18-0701	SUTTON CHRISTIAN SCHOOL	18-0701-001	SUTTON CHRISTIAN SCHOOL	03	5	2	0	0	0	0	0	0	0	0	5	2	7

18-0701	SUTTON CHRISTIAN SCHOOL	18-0701-001	SUTTON CHRISTIAN SCHOOL	04	1	5	0	0	0	0	0	0	0	0	1	5	6

18-0701	SUTTON CHRISTIAN SCHOOL	18-0701-001	SUTTON CHRISTIAN SCHOOL	05	4	2	0	0	0	0	0	0	0	0	4	2	6

18-0701	SUTTON CHRISTIAN SCHOOL	18-0701-001	SUTTON CHRISTIAN SCHOOL	06	3	4	0	0	0	0	0	0	0	0	3	4	7

18-0701	SUTTON CHRISTIAN SCHOOL	18-0701-001	SUTTON CHRISTIAN SCHOOL	07	3	2	0	0	0	0	0	0	0	0	3	2	5

18-0701	SUTTON CHRISTIAN SCHOOL	18-0701-001	SUTTON CHRISTIAN SCHOOL	08	3	3	0	0	0	0	0	0	0	0	3	3	6

19-0001	RICHLAND PUBLIC SCHOOL	19-0001-001	RICHLAND PUBLIC SCHOOL	PK	4	6	0	0	0	0	0	0	0	0	4	6	10

19-0001	RICHLAND PUBLIC SCHOOL	19-0001-001	RICHLAND PUBLIC SCHOOL	K	6	5	0	0	0	0	0	0	0	0	6	5	11

19-0001	RICHLAND PUBLIC SCHOOL	19-0001-001	RICHLAND PUBLIC SCHOOL	01	4	5	0	0	0	0	0	0	0	0	4	5	9

19-0001	RICHLAND PUBLIC SCHOOL	19-0001-001	RICHLAND PUBLIC SCHOOL	02	4	4	0	0	0	0	0	0	0	0	4	4	8

19-0001	RICHLAND PUBLIC SCHOOL	19-0001-001	RICHLAND PUBLIC SCHOOL	03	2	4	0	0	0	0	0	0	0	0	2	4	6

19-0001	RICHLAND PUBLIC SCHOOL	19-0001-001	RICHLAND PUBLIC SCHOOL	04	3	3	0	0	0	0	0	0	0	0	3	3	6

19-0001	RICHLAND PUBLIC SCHOOL	19-0001-001	RICHLAND PUBLIC SCHOOL	05	2	8	0	0	0	0	0	0	0	0	2	8	10

19-0001	RICHLAND PUBLIC SCHOOL	19-0001-001	RICHLAND PUBLIC SCHOOL	06	2	2	0	0	0	0	0	0	0	0	2	2	4

19-0001	RICHLAND PUBLIC SCHOOL	19-0001-001	RICHLAND PUBLIC SCHOOL	07	6	2	0	0	0	0	0	0	0	0	6	2	8

19-0001	RICHLAND PUBLIC SCHOOL	19-0001-001	RICHLAND PUBLIC SCHOOL	08	4	2	0	0	0	0	0	0	0	0	4	2	6

19-0002	SCHUYLER GRADE SCHOOLS	19-0002-001	SCHUYLER NORTH WARD ELEMENTARY	K	12	9	0	0	32	51	0	0	0	0	44	60	104

19-0002	SCHUYLER GRADE SCHOOLS	19-0002-001	SCHUYLER NORTH WARD ELEMENTARY	01	8	7	0	0	47	51	0	0	0	0	55	58	113

19-0002	SCHUYLER GRADE SCHOOLS	19-0002-002	SCHUYLER WEST WARD ELEMENTARY	02	9	12	0	0	44	37	1	0	0	0	54	49	103

19-0002	SCHUYLER GRADE SCHOOLS	19-0002-002	SCHUYLER WEST WARD ELEMENTARY	03	9	11	0	0	33	31	0	0	0	0	42	42	84

19-0002	SCHUYLER GRADE SCHOOLS	19-0002-002	SCHUYLER WEST WARD ELEMENTARY	04	7	13	0	0	31	24	0	0	0	0	38	37	75

19-0002	SCHUYLER GRADE SCHOOLS	19-0002-002	SCHUYLER WEST WARD ELEMENTARY	05	13	20	0	0	24	35	1	1	0	0	38	56	94

19-0002	SCHUYLER GRADE SCHOOLS	19-0002-002	SCHUYLER WEST WARD ELEMENTARY	06	13	19	0	0	29	34	1	0	0	1	43	54	97

19-0002	SCHUYLER GRADE SCHOOLS	19-0002-002	SCHUYLER WEST WARD ELEMENTARY	07	20	16	0	0	36	35	0	0	0	1	56	52	108

19-0002	SCHUYLER GRADE SCHOOLS	19-0002-002	SCHUYLER WEST WARD ELEMENTARY	08	19	9	0	1	28	30	0	0	0	1	47	41	88

19-0024	FISHER'S PUBLIC SCHOOL	19-0024-001	FISHER'S PUBLIC SCHOOL	K	2	4	0	0	0	0	0	0	0	0	2	4	6

19-0024	FISHER'S PUBLIC SCHOOL	19-0024-001	FISHER'S PUBLIC SCHOOL	01	1	1	0	0	0	0	0	0	0	0	1	1	2

19-0024	FISHER'S PUBLIC SCHOOL	19-0024-001	FISHER'S PUBLIC SCHOOL	02	3	5	0	0	0	0	0	0	0	0	3	5	8

19-0024	FISHER'S PUBLIC SCHOOL	19-0024-001	FISHER'S PUBLIC SCHOOL	03	3	2	0	0	0	0	0	0	0	0	3	2	5

19-0024	FISHER'S PUBLIC SCHOOL	19-0024-001	FISHER'S PUBLIC SCHOOL	04	3	0	0	0	0	0	0	0	0	0	3	0	3

19-0024	FISHER'S PUBLIC SCHOOL	19-0024-001	FISHER'S PUBLIC SCHOOL	05	2	2	0	0	0	0	0	0	0	0	2	2	4

19-0024	FISHER'S PUBLIC SCHOOL	19-0024-001	FISHER'S PUBLIC SCHOOL	06	2	5	0	0	0	0	0	0	0	0	2	5	7

19-0024	FISHER'S PUBLIC SCHOOL	19-0024-001	FISHER'S PUBLIC SCHOOL	07	1	3	0	0	0	0	0	0	0	0	1	3	4

19-0024	FISHER'S PUBLIC SCHOOL	19-0024-001	FISHER'S PUBLIC SCHOOL	08	2	2	0	0	0	0	0	0	0	0	2	2	4

19-0039	LEIGH COMMUNITY SCHOOLS	19-0039-001	LEIGH HIGH SCHOOL	07	5	6	0	0	0	0	0	0	0	0	5	6	11

19-0039	LEIGH COMMUNITY SCHOOLS	19-0039-001	LEIGH HIGH SCHOOL	08	9	11	0	0	0	0	0	0	0	0	9	11	20

19-0039	LEIGH COMMUNITY SCHOOLS	19-0039-001	LEIGH HIGH SCHOOL	09	11	17	0	0	1	0	0	0	0	0	12	17	29

19-0039	LEIGH COMMUNITY SCHOOLS	19-0039-001	LEIGH HIGH SCHOOL	10	13	15	0	0	1	0	0	0	0	0	14	15	29

19-0039	LEIGH COMMUNITY SCHOOLS	19-0039-001	LEIGH HIGH SCHOOL	11	10	13	0	0	1	0	0	0	0	0	11	13	24

19-0039	LEIGH COMMUNITY SCHOOLS	19-0039-001	LEIGH HIGH SCHOOL	12	8	17	0	0	1	0	0	0	0	0	9	17	26

19-0039	LEIGH COMMUNITY SCHOOLS	19-0039-002	LEIGH ELEMENTARY SCHOOL	K	4	4	0	0	0	1	0	0	0	0	4	5	9

19-0039	LEIGH COMMUNITY SCHOOLS	19-0039-002	LEIGH ELEMENTARY SCHOOL	01	7	8	0	0	0	1	0	0	0	0	7	9	16

19-0039	LEIGH COMMUNITY SCHOOLS	19-0039-002	LEIGH ELEMENTARY SCHOOL	02	4	2	0	0	0	0	0	0	0	0	4	2	6

19-0039	LEIGH COMMUNITY SCHOOLS	19-0039-002	LEIGH ELEMENTARY SCHOOL	03	8	5	0	0	0	0	0	0	0	0	8	5	13

19-0039	LEIGH COMMUNITY SCHOOLS	19-0039-002	LEIGH ELEMENTARY SCHOOL	04	7	8	0	0	1	1	0	0	0	0	8	9	17

19-0039	LEIGH COMMUNITY SCHOOLS	19-0039-002	LEIGH ELEMENTARY SCHOOL	05	6	9	0	0	0	0	0	0	0	0	6	9	15

19-0039	LEIGH COMMUNITY SCHOOLS	19-0039-002	LEIGH ELEMENTARY SCHOOL	06	6	7	0	0	0	0	0	0	0	0	6	7	13

19-0058	CLARKSON PUBLIC SCHOOLS	19-0058-001	CLARKSON JR-SR HIGH SCHOOL	07	14	21	0	0	0	0	0	0	0	0	14	21	35

19-0058	CLARKSON PUBLIC SCHOOLS	19-0058-001	CLARKSON JR-SR HIGH SCHOOL	08	17	10	0	0	2	1	0	0	0	0	19	11	30

19-0058	CLARKSON PUBLIC SCHOOLS	19-0058-001	CLARKSON JR-SR HIGH SCHOOL	09	13	13	1	0	0	0	0	0	0	0	14	13	27

19-0058	CLARKSON PUBLIC SCHOOLS	19-0058-001	CLARKSON JR-SR HIGH SCHOOL	10	14	11	0	0	0	0	0	0	0	0	14	11	25

19-0058	CLARKSON PUBLIC SCHOOLS	19-0058-001	CLARKSON JR-SR HIGH SCHOOL	11	6	17	0	0	1	0	0	0	0	0	7	17	24

19-0058	CLARKSON PUBLIC SCHOOLS	19-0058-001	CLARKSON JR-SR HIGH SCHOOL	12	12	13	1	0	0	0	0	0	0	0	13	13	26

19-0058	CLARKSON PUBLIC SCHOOLS	19-0058-002	CLARKSON ELEMENTARY SCHOOL	K	11	7	0	0	1	0	0	0	0	0	12	7	19

19-0058	CLARKSON PUBLIC SCHOOLS	19-0058-002	CLARKSON ELEMENTARY SCHOOL	01	4	5	0	0	0	0	0	0	1	0	5	5	10

19-0058	CLARKSON PUBLIC SCHOOLS	19-0058-002	CLARKSON ELEMENTARY SCHOOL	02	5	5	0	0	0	0	0	0	0	0	5	5	10

19-0058	CLARKSON PUBLIC SCHOOLS	19-0058-002	CLARKSON ELEMENTARY SCHOOL	03	4	8	0	0	0	0	0	0	0	1	4	9	13

19-0058	CLARKSON PUBLIC SCHOOLS	19-0058-002	CLARKSON ELEMENTARY SCHOOL	04	4	4	0	0	0	0	0	0	0	0	4	4	8

19-0058	CLARKSON PUBLIC SCHOOLS	19-0058-002	CLARKSON ELEMENTARY SCHOOL	05	9	4	1	0	0	0	0	0	0	1	10	5	15

19-0058	CLARKSON PUBLIC SCHOOLS	19-0058-002	CLARKSON ELEMENTARY SCHOOL	06	3	9	0	0	0	0	0	0	0	0	3	9	12

19-0059	HOWELLS PUBLIC SCHOOLS	19-0059-001	HOWELLS JR/SR HIGH SCHOOL	07	16	10	0	0	0	0	0	0	0	0	16	10	26

19-0059	HOWELLS PUBLIC SCHOOLS	19-0059-001	HOWELLS JR/SR HIGH SCHOOL	08	14	18	0	0	0	0	0	0	0	0	14	18	32

19-0059	HOWELLS PUBLIC SCHOOLS	19-0059-001	HOWELLS JR/SR HIGH SCHOOL	09	16	18	0	0	1	0	0	0	0	0	17	18	35

19-0059	HOWELLS PUBLIC SCHOOLS	19-0059-001	HOWELLS JR/SR HIGH SCHOOL	10	12	17	0	0	0	1	0	0	0	0	12	18	30

19-0059	HOWELLS PUBLIC SCHOOLS	19-0059-001	HOWELLS JR/SR HIGH SCHOOL	11	14	14	0	0	0	0	0	0	0	0	14	14	28

19-0059	HOWELLS PUBLIC SCHOOLS	19-0059-001	HOWELLS JR/SR HIGH SCHOOL	12	9	12	0	0	0	0	0	0	0	0	9	12	21

19-0059	HOWELLS PUBLIC SCHOOLS	19-0059-003	HOWELLS ELEMENTARY SCHOOL	K	7	8	0	0	0	1	0	0	0	0	7	9	16

19-0059	HOWELLS PUBLIC SCHOOLS	19-0059-003	HOWELLS ELEMENTARY SCHOOL	01	1	3	0	0	0	0	0	0	1	0	2	3	5

19-0059	HOWELLS PUBLIC SCHOOLS	19-0059-003	HOWELLS ELEMENTARY SCHOOL	02	2	4	0	0	1	1	0	1	0	0	3	6	9

19-0059	HOWELLS PUBLIC SCHOOLS	19-0059-003	HOWELLS ELEMENTARY SCHOOL	03	0	6	0	0	0	1	0	0	0	0	0	7	7

19-0059	HOWELLS PUBLIC SCHOOLS	19-0059-003	HOWELLS ELEMENTARY SCHOOL	04	3	6	0	0	0	0	0	0	0	0	3	6	9

19-0059	HOWELLS PUBLIC SCHOOLS	19-0059-003	HOWELLS ELEMENTARY SCHOOL	05	1	3	0	0	0	0	0	0	0	0	1	3	4

19-0059	HOWELLS PUBLIC SCHOOLS	19-0059-003	HOWELLS ELEMENTARY SCHOOL	06	4	7	0	0	0	0	0	0	0	0	4	7	11

19-0123	SCHUYLER CENTRAL HIGH SCHOOL	19-0123-001	SCHUYLER CENTRAL HIGH SCHOOL	09	24	23	0	1	32	32	1	1	0	1	57	58	115

19-0123	SCHUYLER CENTRAL HIGH SCHOOL	19-0123-001	SCHUYLER CENTRAL HIGH SCHOOL	10	32	31	1	0	17	24	0	0	0	0	50	55	105

19-0123	SCHUYLER CENTRAL HIGH SCHOOL	19-0123-001	SCHUYLER CENTRAL HIGH SCHOOL	11	24	33	0	0	23	17	0	1	0	0	47	51	98

19-0123	SCHUYLER CENTRAL HIGH SCHOOL	19-0123-001	SCHUYLER CENTRAL HIGH SCHOOL	12	31	33	1	0	20	10	0	1	0	0	52	44	96

19-0504	DIST 504 - COLFAX COUNTY	19-0504-001	DIST 504 - COLFAX COUNTY	K	2	0	0	0	0	3	0	0	0	0	2	3	5

19-0504	DIST 504 - COLFAX COUNTY	19-0504-001	DIST 504 - COLFAX COUNTY	01	1	2	0	0	1	1	0	0	0	0	2	3	5

19-0504	DIST 504 - COLFAX COUNTY	19-0504-001	DIST 504 - COLFAX COUNTY	02	2	2	0	0	0	1	0	0	0	0	2	3	5

19-0504	DIST 504 - COLFAX COUNTY	19-0504-001	DIST 504 - COLFAX COUNTY	03	2	3	0	0	0	1	0	0	0	0	2	4	6

19-0504	DIST 504 - COLFAX COUNTY	19-0504-001	DIST 504 - COLFAX COUNTY	04	3	1	0	0	0	0	0	0	0	0	3	1	4

19-0504	DIST 504 - COLFAX COUNTY	19-0504-001	DIST 504 - COLFAX COUNTY	05	3	2	0	0	0	0	0	0	0	0	3	2	5

19-0504	DIST 504 - COLFAX COUNTY	19-0504-001	DIST 504 - COLFAX COUNTY	06	1	4	0	0	1	1	0	0	0	0	2	5	7

19-0504	DIST 504 - COLFAX COUNTY	19-0504-001	DIST 504 - COLFAX COUNTY	07	3	1	0	0	0	0	0	0	0	0	3	1	4

19-0504	DIST 504 - COLFAX COUNTY	19-0504-001	DIST 504 - COLFAX COUNTY	08	3	3	0	0	0	0	0	0	0	0	3	3	6

19-0505	DIST 505 - COLFAX COUNTY	19-0505-001	DIST 505 - COLFAX COUNTY	02	1	0	0	0	0	0	0	0	0	0	1	0	1

19-0505	DIST 505 - COLFAX COUNTY	19-0505-001	DIST 505 - COLFAX COUNTY	03	2	1	0	0	0	0	0	0	0	0	2	1	3

19-0505	DIST 505 - COLFAX COUNTY	19-0505-001	DIST 505 - COLFAX COUNTY	04	0	2	0	0	0	0	0	0	0	0	0	2	2

19-0505	DIST 505 - COLFAX COUNTY	19-0505-001	DIST 505 - COLFAX COUNTY	05	1	4	0	0	0	0	0	0	0	0	1	4	5

19-0505	DIST 505 - COLFAX COUNTY	19-0505-001	DIST 505 - COLFAX COUNTY	06	0	2	0	0	0	0	1	0	0	0	1	2	3

19-0505	DIST 505 - COLFAX COUNTY	19-0505-001	DIST 505 - COLFAX COUNTY	07	0	2	0	0	0	0	0	0	0	0	0	2	2

19-0505	DIST 505 - COLFAX COUNTY	19-0505-001	DIST 505 - COLFAX COUNTY	08	2	4	0	0	0	0	1	0	0	0	3	4	7

19-0703	ST JOHN NEUMANN ELEMENTARY SCH	19-0703-001	ST JOHN NEUMANN ELEMENTARY SCH	01	3	4	0	0	0	0	0	0	0	0	3	4	7

19-0703	ST JOHN NEUMANN ELEMENTARY SCH	19-0703-001	ST JOHN NEUMANN ELEMENTARY SCH	02	5	6	0	0	0	0	0	0	0	0	5	6	11

19-0703	ST JOHN NEUMANN ELEMENTARY SCH	19-0703-001	ST JOHN NEUMANN ELEMENTARY SCH	03	1	1	0	0	0	0	0	0	0	0	1	1	2

19-0703	ST JOHN NEUMANN ELEMENTARY SCH	19-0703-001	ST JOHN NEUMANN ELEMENTARY SCH	04	2	6	0	0	0	0	0	0	0	0	2	6	8

19-0703	ST JOHN NEUMANN ELEMENTARY SCH	19-0703-001	ST JOHN NEUMANN ELEMENTARY SCH	05	5	3	0	0	0	0	0	0	0	0	5	3	8

19-0703	ST JOHN NEUMANN ELEMENTARY SCH	19-0703-001	ST JOHN NEUMANN ELEMENTARY SCH	06	3	3	0	0	0	0	0	0	0	0	3	3	6

19-0704	HOWELLS COMMUNITY CATHOLIC SCH	19-0704-001	HOWELLS COMMUNITY CATHOLIC SCH	01	3	4	0	0	0	0	0	0	0	0	3	4	7

19-0704	HOWELLS COMMUNITY CATHOLIC SCH	19-0704-001	HOWELLS COMMUNITY CATHOLIC SCH	02	6	5	0	0	0	0	0	0	0	0	6	5	11

19-0704	HOWELLS COMMUNITY CATHOLIC SCH	19-0704-001	HOWELLS COMMUNITY CATHOLIC SCH	03	6	5	0	0	0	0	0	0	0	0	6	5	11

19-0704	HOWELLS COMMUNITY CATHOLIC SCH	19-0704-001	HOWELLS COMMUNITY CATHOLIC SCH	04	3	9	0	0	0	0	0	0	0	0	3	9	12

19-0704	HOWELLS COMMUNITY CATHOLIC SCH	19-0704-001	HOWELLS COMMUNITY CATHOLIC SCH	05	10	10	0	0	0	0	0	0	0	0	10	10	20

19-0704	HOWELLS COMMUNITY CATHOLIC SCH	19-0704-001	HOWELLS COMMUNITY CATHOLIC SCH	06	7	7	0	0	0	0	0	0	0	0	7	7	14

20-0001	WEST POINT PUBLIC SCHOOLS	20-0001-001	WEST POINT HIGH SCHOOL	07	16	23	0	1	6	10	0	0	0	0	22	34	56

20-0001	WEST POINT PUBLIC SCHOOLS	20-0001-001	WEST POINT HIGH SCHOOL	08	15	27	0	0	10	6	0	0	0	0	25	33	58

20-0001	WEST POINT PUBLIC SCHOOLS	20-0001-001	WEST POINT HIGH SCHOOL	09	26	25	0	0	12	10	0	0	0	0	38	35	73

20-0001	WEST POINT PUBLIC SCHOOLS	20-0001-001	WEST POINT HIGH SCHOOL	10	27	22	0	0	4	4	0	0	0	1	31	27	58

20-0001	WEST POINT PUBLIC SCHOOLS	20-0001-001	WEST POINT HIGH SCHOOL	11	26	19	0	0	3	3	0	1	0	0	29	23	52

20-0001	WEST POINT PUBLIC SCHOOLS	20-0001-001	WEST POINT HIGH SCHOOL	12	28	21	1	0	4	1	0	0	0	0	33	22	55

20-0001	WEST POINT PUBLIC SCHOOLS	20-0001-002	WEST POINT ELEMENTARY SCHOOL	PK	1	2	0	0	1	0	0	0	0	0	2	2	4

20-0001	WEST POINT PUBLIC SCHOOLS	20-0001-002	WEST POINT ELEMENTARY SCHOOL	K	16	15	0	0	8	19	0	0	0	0	24	34	58

20-0001	WEST POINT PUBLIC SCHOOLS	20-0001-002	WEST POINT ELEMENTARY SCHOOL	01	17	15	0	0	5	17	0	0	0	0	22	32	54

20-0001	WEST POINT PUBLIC SCHOOLS	20-0001-002	WEST POINT ELEMENTARY SCHOOL	02	10	16	0	0	13	13	0	0	0	0	23	29	52

20-0001	WEST POINT PUBLIC SCHOOLS	20-0001-002	WEST POINT ELEMENTARY SCHOOL	03	14	13	0	0	7	9	0	1	1	0	22	23	45

20-0001	WEST POINT PUBLIC SCHOOLS	20-0001-002	WEST POINT ELEMENTARY SCHOOL	04	11	16	0	0	5	9	0	0	0	0	16	25	41

20-0001	WEST POINT PUBLIC SCHOOLS	20-0001-002	WEST POINT ELEMENTARY SCHOOL	05	17	20	0	0	7	8	0	0	0	0	24	28	52

20-0001	WEST POINT PUBLIC SCHOOLS	20-0001-002	WEST POINT ELEMENTARY SCHOOL	06	20	17	0	0	4	7	0	0	0	0	24	24	48

20-0020	BANCROFT-ROSALIE COMM SCHOOLS	20-0020-001	HIGH SCHOOL AT BANCROFT	09	12	11	0	0	0	0	3	2	0	1	15	14	29

20-0020	BANCROFT-ROSALIE COMM SCHOOLS	20-0020-001	HIGH SCHOOL AT BANCROFT	10	8	10	0	0	0	0	2	1	0	0	10	11	21

20-0020	BANCROFT-ROSALIE COMM SCHOOLS	20-0020-001	HIGH SCHOOL AT BANCROFT	11	14	12	0	0	0	0	2	0	0	0	16	12	28

20-0020	BANCROFT-ROSALIE COMM SCHOOLS	20-0020-001	HIGH SCHOOL AT BANCROFT	12	19	11	0	0	0	0	2	3	0	0	21	14	35

20-0020	BANCROFT-ROSALIE COMM SCHOOLS	20-0020-005	JUNIOR HIGH SCH AT BANCROFT	07	8	13	0	0	0	0	1	2	0	0	9	15	24

20-0020	BANCROFT-ROSALIE COMM SCHOOLS	20-0020-005	JUNIOR HIGH SCH AT BANCROFT	08	11	11	0	0	0	0	3	1	0	1	14	13	27

20-0020	BANCROFT-ROSALIE COMM SCHOOLS	20-0020-006	ELEMENTARY SCHOOL AT BANCROFT	K	8	9	0	0	1	0	0	0	0	0	9	9	18

20-0020	BANCROFT-ROSALIE COMM SCHOOLS	20-0020-006	ELEMENTARY SCHOOL AT BANCROFT	01	4	7	0	0	0	0	2	1	0	0	6	8	14

20-0020	BANCROFT-ROSALIE COMM SCHOOLS	20-0020-006	ELEMENTARY SCHOOL AT BANCROFT	02	4	14	0	0	0	0	0	2	0	0	4	16	20

20-0020	BANCROFT-ROSALIE COMM SCHOOLS	20-0020-006	ELEMENTARY SCHOOL AT BANCROFT	03	9	4	0	0	1	0	1	0	0	0	11	4	15

20-0020	BANCROFT-ROSALIE COMM SCHOOLS	20-0020-006	ELEMENTARY SCHOOL AT BANCROFT	04	9	9	0	0	0	1	4	1	0	1	13	12	25

20-0020	BANCROFT-ROSALIE COMM SCHOOLS	20-0020-006	ELEMENTARY SCHOOL AT BANCROFT	05	12	13	0	0	0	0	1	1	0	0	13	14	27

20-0020	BANCROFT-ROSALIE COMM SCHOOLS	20-0020-006	ELEMENTARY SCHOOL AT BANCROFT	06	8	8	0	0	0	0	2	1	0	0	10	9	19

20-0030	WISNER-PILGER PUBLIC SCHOOLS	20-0030-001	HIGH SCHOOL AT WISNER	07	23	25	0	0	2	0	0	0	0	0	25	25	50

20-0030	WISNER-PILGER PUBLIC SCHOOLS	20-0030-001	HIGH SCHOOL AT WISNER	08	20	36	1	0	0	0	0	0	0	1	21	37	58

20-0030	WISNER-PILGER PUBLIC SCHOOLS	20-0030-001	HIGH SCHOOL AT WISNER	09	20	18	0	0	0	0	0	1	0	0	20	19	39

20-0030	WISNER-PILGER PUBLIC SCHOOLS	20-0030-001	HIGH SCHOOL AT WISNER	10	16	26	0	0	0	1	0	0	0	0	16	27	43

