Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	Hispanic	American Indian / Alaskan Native	Asian	Black or African American	Native Hawaiian or Other Pacific Islander	White	Two or More Races
SC	20072008	28	0001	001	BENSON MAGNET HIGH SCHOOL	40072	9.27	48.00	0.4364	94.40	*	*	*	*	*	*	*
SC	20082009	28	0001	001	BENSON MAGNET HIGH SCHOOL	41073	8.58	48.00	0.4248	98.02	*	*	*	*	*	*	*
SC	20092010	28	0001	001	BENSON MAGNET HIGH SCHOOL	42295	8.92	57.00	0.4672	104.82	*	*	*	*	*	*	*
SC	20102011	28	0001	001	BENSON MAGNET HIGH SCHOOL	42997	10.41	72.00	0.5143	107.91	*	*	*	*	*	91	*
SC	20002001	28	0001	003	BRYAN HIGH SCHOOL	34889	15.95	35.00	0.4667	70.63	*	*	*	*	*	*	*
SC	20052006	28	0001	003	BRYAN HIGH SCHOOL	37498	10.84	41.00	0.4457	90.52	*	*	*	*	*	*	*
SC	20072008	28	0001	003	BRYAN HIGH SCHOOL	40935	10.96	52.00	0.4602	97.80	*	*	*	*	*	*	*
SC	20082009	28	0001	003	BRYAN HIGH SCHOOL	42208	10.77	51.00	0.4397	100.11	*	*	*	*	*	*	*
SC	20092010	28	0001	003	BRYAN HIGH SCHOOL	43632	11.53	63.00	0.5431	97.90	*	*	*	*	*	*	*
SC	20102011	28	0001	003	BRYAN HIGH SCHOOL	43794	11.85	66.00	0.5038	99.31	*	*	*	*	*	96	*
SC	20002001	28	0001	005	BURKE HIGH SCHOOL	35896	16.43	55.00	0.5392	96.45	*	*	*	*	*	*	*
SC	20052006	28	0001	005	BURKE HIGH SCHOOL	36944	10.97	46.00	0.4107	108.53	*	*	*	*	*	*	*
SC	20072008	28	0001	005	BURKE HIGH SCHOOL	40815	10.86	60.00	0.4478	116.50	*	*	*	*	*	*	*
SC	20082009	28	0001	005	BURKE HIGH SCHOOL	41998	10.39	59.00	0.4307	120.14	*	*	*	*	*	*	*
SC	20092010	28	0001	005	BURKE HIGH SCHOOL	43015	10.57	76.00	0.5352	122.76	*	*	*	*	*	*	*
SC	20102011	28	0001	005	BURKE HIGH SCHOOL	43317	10.97	82.00	0.4910	132.72	*	*	*	*	*	125	*
SC	20002001	28	0001	007	CENTRAL HIGH SCHOOL	33424	13.43	68.00	0.5075	128.05	*	*	*	*	*	*	*
SC	20052006	28	0001	007	CENTRAL HIGH SCHOOL	38074	12.08	74.00	0.5564	129.88	*	*	*	*	*	*	*
SC	20072008	28	0001	007	CENTRAL HIGH SCHOOL	41875	12.01	95.00	0.5938	142.26	*	*	*	*	*	*	*
SC	20082009	28	0001	007	CENTRAL HIGH SCHOOL	42887	11.54	89.00	0.5394	148.26	*	*	*	*	*	*	*
SC	20092010	28	0001	007	CENTRAL HIGH SCHOOL	44249	12.10	95.00	0.5689	147.59	*	*	*	*	*	*	*
SC	20102011	28	0001	007	CENTRAL HIGH SCHOOL	44924	13.05	101.00	0.5580	147.07	*	*	*	*	*	129	*
SC	20002001	28	0001	009	OMAHA NORTH MAGNET HIGH SCHOOL	33619	13.03	60.00	0.4724	124.90	*	*	*	*	*	*	*
SC	20052006	28	0001	009	OMAHA NORTH MAGNET HIGH SCHOOL	38215	11.52	54.00	0.5047	105.35	*	*	*	*	*	*	*
SC	20072008	28	0001	009	OMAHA NORTH MAGNET HIGH SCHOOL	41100	10.89	60.00	0.4580	114.24	*	*	*	*	*	*	*
SC	20082009	28	0001	009	OMAHA NORTH MAGNET HIGH SCHOOL	42420	10.89	55.00	0.4331	110.94	*	*	*	*	*	*	*
SC	20092010	28	0001	009	OMAHA NORTH MAGNET HIGH SCHOOL	43410	10.67	66.00	0.5000	112.60	*	*	*	*	*	*	*
SC	20102011	28	0001	009	OMAHA NORTH MAGNET HIGH SCHOOL	43817	11.18	79.00	0.5197	118.94	*	*	*	*	*	107	*
SC	20002001	28	0001	011	OMAHA NORTHWEST MAGNET HIGH SCHOOL	34332	13.92	50.00	0.4902	100.30	*	*	*	*	*	*	*
SC	20052006	28	0001	011	OMAHA NORTHWEST MAGNET HIGH SCHOOL	36976	11.68	39.00	0.3514	107.95	*	*	*	*	*	*	*
SC	20072008	28	0001	011	OMAHA NORTHWEST MAGNET HIGH SCHOOL	40874	10.69	53.00	0.4274	108.44	*	*	*	*	*	*	*
SC	20082009	28	0001	011	OMAHA NORTHWEST MAGNET HIGH SCHOOL	43003	11.83	49.00	0.4495	91.89	*	*	*	*	*	*	*
SC	20092010	28	0001	011	OMAHA NORTHWEST MAGNET HIGH SCHOOL	44711	12.32	55.00	0.5392	84.58	*	*	*	*	*	*	*
SC	20102011	28	0001	011	OMAHA NORTHWEST MAGNET HIGH SCHOOL	44979	12.92	64.00	0.5565	85.02	*	*	*	*	*	78	*
SC	20002001	28	0001	013	OMAHA SOUTH MAGNET HIGH SCHOOL	35200	15.84	53.00	0.5521	91.65	*	*	*	*	*	*	*
SC	20052006	28	0001	013	OMAHA SOUTH MAGNET HIGH SCHOOL	37078	10.35	50.00	0.4274	114.05	*	*	*	*	*	*	*
SC	20072008	28	0001	013	OMAHA SOUTH MAGNET HIGH SCHOOL	41007	10.49	66.00	0.4648	124.91	*	*	*	*	*	*	*
SC	20082009	28	0001	013	OMAHA SOUTH MAGNET HIGH SCHOOL	42614	10.80	65.00	0.4815	117.97	*	*	*	*	*	*	*
SC	20092010	28	0001	013	OMAHA SOUTH MAGNET HIGH SCHOOL	44241	11.41	83.00	0.5845	123.54	*	*	*	*	*	*	*
SC	20102011	28	0001	013	OMAHA SOUTH MAGNET HIGH SCHOOL	45205	12.26	101.00	0.6352	126.12	*	*	*	*	*	112	*
SC	20002001	28	0001	019	BEVERIDGE MAGNET MIDDLE SCHOOL	36361	17.51	21.00	0.4286	46.40	*	*	*	*	*	*	*
SC	20052006	28	0001	019	BEVERIDGE MAGNET MIDDLE SCHOOL	36496	11.67	21.00	0.3818	54.50	*	*	*	*	*	*	*
SC	20072008	28	0001	019	BEVERIDGE MAGNET MIDDLE SCHOOL	41074	11.87	23.00	0.4182	54.25	*	*	*	*	*	*	*
SC	20082009	28	0001	019	BEVERIDGE MAGNET MIDDLE SCHOOL	42175	11.44	24.00	0.4444	53.00	*	*	*	*	*	*	*
SC	20092010	28	0001	019	BEVERIDGE MAGNET MIDDLE SCHOOL	42013	9.89	25.00	0.4464	55.00	*	*	*	*	*	*	*
SC	20102011	28	0001	019	BEVERIDGE MAGNET MIDDLE SCHOOL	42885	10.48	28.00	0.4828	57.00	*	*	*	*	*	51	*
SC	20002001	28	0001	021	BRYAN MIDDLE SCHOOL	32026	11.32	24.00	0.4286	53.85	*	*	*	*	*	*	*
SC	20052006	28	0001	021	BRYAN MIDDLE SCHOOL	36635	11.61	20.00	0.3704	53.50	*	*	*	*	*	*	*
SC	20072008	28	0001	021	BRYAN MIDDLE SCHOOL	40971	11.49	23.00	0.4510	51.00	*	*	*	*	*	*	*
SC	20082009	28	0001	021	BRYAN MIDDLE SCHOOL	40366	9.33	20.00	0.3333	60.00	*	*	*	*	*	*	*
SC	20092010	28	0001	021	BRYAN MIDDLE SCHOOL	42994	10.51	28.00	0.4746	59.00	*	*	*	*	*	*	*
SC	20102011	28	0001	021	BRYAN MIDDLE SCHOOL	43605	10.93	30.00	0.5085	59.00	*	*	*	*	*	56	*
SC	20052006	28	0001	022	ALICE BUFFETT MAGNET MS	38034	10.05	15.00	0.3659	34.55	*	*	*	*	*	*	*
SC	20072008	28	0001	022	ALICE BUFFETT MAGNET MS	40303	11.04	17.00	0.3778	39.45	*	*	*	*	*	*	*
SC	20082009	28	0001	022	ALICE BUFFETT MAGNET MS	41661	10.79	18.00	0.3750	38.70	*	*	*	*	*	*	*
SC	20092010	28	0001	022	ALICE BUFFETT MAGNET MS	42912	11.31	25.00	0.4808	44.05	*	*	*	*	*	*	*
SC	20102011	28	0001	022	ALICE BUFFETT MAGNET MS	42970	11.55	25.00	0.4545	47.85	*	*	*	*	*	44	*
SC	20002001	28	0001	023	HALE MAGNET MIDDLE SCHOOL	34424	16.18	14.00	0.3590	36.00	*	*	*	*	*	*	*
SC	20052006	28	0001	023	HALE MAGNET MIDDLE SCHOOL	36509	11.50	13.00	0.3611	33.64	*	*	*	*	*	*	*
SC	20072008	28	0001	023	HALE MAGNET MIDDLE SCHOOL	39438	9.94	15.00	0.4167	34.20	*	*	*	*	*	*	*
SC	20082009	28	0001	023	HALE MAGNET MIDDLE SCHOOL	40601	9.79	13.00	0.3939	32.20	*	*	*	*	*	*	*
SC	20092010	28	0001	023	HALE MAGNET MIDDLE SCHOOL	47843	10.47	15.00	0.5000	29.20	*	*	*	*	*	*	*
SC	20102011	28	0001	023	HALE MAGNET MIDDLE SCHOOL	47324	9.78	14.00	0.4375	31.70	*	*	*	*	*	29	*
SC	20052006	28	0001	024	ALICE BUFFETT MAGNET ELEM SCH	38818	11.36	18.00	0.5000	30.25	*	*	*	*	*	*	*
SC	20072008	28	0001	024	ALICE BUFFETT MAGNET ELEM SCH	41579	11.76	21.00	0.4667	38.75	*	*	*	*	*	*	*
SC	20082009	28	0001	024	ALICE BUFFETT MAGNET ELEM SCH	42826	11.73	24.00	0.4615	40.30	*	*	*	*	*	*	*
SC	20092010	28	0001	024	ALICE BUFFETT MAGNET ELEM SCH	43793	11.98	18.00	0.3830	37.82	*	*	*	*	*	*	*
SC	20102011	28	0001	024	ALICE BUFFETT MAGNET ELEM SCH	44248	11.83	19.00	0.4043	41.15	*	*	*	*	*	39	*
SC	20002001	28	0001	029	LEWIS & CLARK MIDDLE SCHOOL	32904	12.92	25.00	0.4808	49.55	*	*	*	*	*	*	*
SC	20052006	28	0001	029	LEWIS & CLARK MIDDLE SCHOOL	37566	11.76	20.00	0.4082	48.49	*	*	*	*	*	*	*
SC	20072008	28	0001	029	LEWIS & CLARK MIDDLE SCHOOL	40333	12.33	17.00	0.3778	44.50	*	*	*	*	*	*	*
SC	20082009	28	0001	029	LEWIS & CLARK MIDDLE SCHOOL	41244	12.33	16.00	0.3478	44.50	*	*	*	*	*	*	*
SC	20092010	28	0001	029	LEWIS & CLARK MIDDLE SCHOOL	44213	12.36	17.00	0.3864	43.50	*	*	*	*	*	*	*
SC	20102011	28	0001	029	LEWIS & CLARK MIDDLE SCHOOL	45737	12.23	22.00	0.5116	42.00	*	*	*	*	*	38	*
SC	20052006	28	0001	033	R M MARRS MAGNET MIDDLE SCHOOL	35532	8.33	17.00	0.3696	37.50	*	*	*	*	*	*	*
SC	20072008	28	0001	033	R M MARRS MAGNET MIDDLE SCHOOL	38438	7.35	20.00	0.4082	41.50	*	*	*	*	*	*	*
SC	20082009	28	0001	033	R M MARRS MAGNET MIDDLE SCHOOL	39700	7.98	19.00	0.3654	42.00	*	*	*	*	*	*	*
SC	20092010	28	0001	033	R M MARRS MAGNET MIDDLE SCHOOL	40076	7.93	19.00	0.3519	45.50	*	*	*	*	*	*	*
SC	20102011	28	0001	033	R M MARRS MAGNET MIDDLE SCHOOL	41371	8.75	24.00	0.4528	45.00	*	*	*	*	*	38	*
SC	20002001	28	0001	035	MC MILLAN MAGNET MIDDLE SCHOOL	32305	12.21	24.00	0.3871	61.50	*	*	*	*	*	*	*
SC	20052006	28	0001	035	MC MILLAN MAGNET MIDDLE SCHOOL	36092	9.29	17.00	0.3036	54.01	*	*	*	*	*	*	*
SC	20072008	28	0001	035	MC MILLAN MAGNET MIDDLE SCHOOL	39706	10.14	17.00	0.3333	50.00	*	*	*	*	*	*	*
SC	20082009	28	0001	035	MC MILLAN MAGNET MIDDLE SCHOOL	41070	10.37	18.00	0.3462	51.00	*	*	*	*	*	*	*
SC	20092010	28	0001	035	MC MILLAN MAGNET MIDDLE SCHOOL	42459	10.92	23.00	0.4340	52.00	*	*	*	*	*	*	*
SC	20102011	28	0001	035	MC MILLAN MAGNET MIDDLE SCHOOL	43173	11.71	27.00	0.4821	55.00	*	*	*	*	*	53	*
SC	20002001	28	0001	037	MONROE MIDDLE SCHOOL	31259	11.22	20.00	0.3333	58.70	*	*	*	*	*	*	*
SC	20052006	28	0001	037	MONROE MIDDLE SCHOOL	36210	10.44	18.00	0.3462	51.10	*	*	*	*	*	*	*
SC	20072008	28	0001	037	MONROE MIDDLE SCHOOL	39497	10.12	17.00	0.3333	50.88	*	*	*	*	*	*	*
SC	20082009	28	0001	037	MONROE MIDDLE SCHOOL	41224	11.06	17.00	0.3617	47.00	*	*	*	*	*	*	*
SC	20092010	28	0001	037	MONROE MIDDLE SCHOOL	42692	11.38	22.00	0.4583	48.00	*	*	*	*	*	*	*
SC	20102011	28	0001	037	MONROE MIDDLE SCHOOL	43653	11.30	26.00	0.5909	44.00	*	*	*	*	*	36	*
SC	20002001	28	0001	039	MORTON MAGNET MIDDLE SCHOOL	33951	13.45	27.00	0.4821	54.70	*	*	*	*	*	*	*
SC	20052006	28	0001	039	MORTON MAGNET MIDDLE SCHOOL	39051	14.25	18.00	0.4500	39.30	*	*	*	*	*	*	*
SC	20072008	28	0001	039	MORTON MAGNET MIDDLE SCHOOL	40410	12.00	16.00	0.3556	42.80	*	*	*	*	*	*	*
SC	20082009	28	0001	039	MORTON MAGNET MIDDLE SCHOOL	41781	10.47	19.00	0.3878	45.60	*	*	*	*	*	*	*
SC	20092010	28	0001	039	MORTON MAGNET MIDDLE SCHOOL	42553	10.49	24.00	0.4706	47.08	*	*	*	*	*	*	*
SC	20102011	28	0001	039	MORTON MAGNET MIDDLE SCHOOL	43956	11.79	26.00	0.5000	49.50	*	*	*	*	*	47	*
SC	20002001	28	0001	041	NORRIS MIDDLE SCHOOL	31812	10.97	28.00	0.4308	64.50	*	*	*	*	*	*	*
SC	20052006	28	0001	041	NORRIS MIDDLE SCHOOL	37957	12.10	30.00	0.4839	60.51	*	*	*	*	*	*	*
SC	20072008	28	0001	041	NORRIS MIDDLE SCHOOL	42421	13.20	29.00	0.5273	53.80	*	*	*	*	*	*	*
SC	20082009	28	0001	041	NORRIS MIDDLE SCHOOL	43345	12.85	26.00	0.4727	54.50	*	*	*	*	*	*	*
SC	20092010	28	0001	041	NORRIS MIDDLE SCHOOL	43689	12.35	28.00	0.5185	53.50	*	*	*	*	*	*	*
SC	20102011	28	0001	041	NORRIS MIDDLE SCHOOL	43560	12.36	27.00	0.4821	55.50	*	*	*	*	*	48	*
SC	20002001	28	0001	043	WILSON MIDDLE LEVEL PROGRAM	29433	7.46	*	*	12.00	*	*	*	*	*	*	*
SC	20052006	28	0001	043	WILSON MIDDLE LEVEL PROGRAM	38595	13.38	*	*	16.00	*	*	*	*	*	*	*
SC	20072008	28	0001	043	WILSON MIDDLE LEVEL PROGRAM	42982	14.94	*	*	17.00	*	*	*	*	*	*	*
SC	20082009	28	0001	043	WILSON MIDDLE LEVEL PROGRAM	43827	14.29	*	*	17.00	*	*	*	*	*	*	*
SC	20092010	28	0001	043	WILSON MIDDLE LEVEL PROGRAM	45439	15.65	*	*	17.00	*	*	*	*	*	*	*
SC	20102011	28	0001	043	WILSON MIDDLE LEVEL PROGRAM	45426	15.00	*	*	17.00	*	*	*	*	*	16	*
SC	20002001	28	0001	045	BLACKBURN SENIOR HIGH PROGRAM	33823	13.08	11.00	0.4583	23.00	*	*	*	*	*	*	*
SC	20052006	28	0001	045	BLACKBURN SENIOR HIGH PROGRAM	40696	15.38	13.00	0.5417	23.30	*	*	*	*	*	*	*
SC	20072008	28	0001	045	BLACKBURN SENIOR HIGH PROGRAM	40209	10.30	13.00	0.4333	30.00	*	*	*	*	*	*	*
SC	20082009	28	0001	045	BLACKBURN SENIOR HIGH PROGRAM	41393	9.55	12.00	0.3871	30.30	*	*	*	*	*	*	*
SC	20092010	28	0001	045	BLACKBURN SENIOR HIGH PROGRAM	42089	10.34	13.00	0.4063	31.30	*	*	*	*	*	*	*
SC	20102011	28	0001	045	BLACKBURN SENIOR HIGH PROGRAM	43929	12.26	13.00	0.4815	26.50	*	*	*	*	*	22	*
SC	20002001	28	0001	051	PARRISH PROGRAM	30960	11.33	*	*	11.00	*	*	*	*	*	*	*
SC	20052006	28	0001	051	PARRISH PROGRAM	37402	13.11	*	*	*	*	*	*	*	*	*	*
SC	20072008	28	0001	051	PARRISH PROGRAM	41378	14.15	*	*	12.06	*	*	*	*	*	*	*
SC	20082009	28	0001	051	PARRISH PROGRAM	43716	17.07	*	*	14.00	*	*	*	*	*	*	*
SC	20092010	28	0001	051	PARRISH PROGRAM	42108	13.00	*	*	*	*	*	*	*	*	*	*
SC	20102011	28	0001	051	PARRISH PROGRAM	44334	12.63	*	*	*	*	*	*	*	*	*	*
SC	20002001	28	0001	055	ADAMS ELEM SCHOOL	31741	10.59	12.00	0.4444	20.53	*	*	*	*	*	*	*
SC	20052006	28	0001	055	ADAMS ELEM SCHOOL	41658	14.61	11.00	0.4783	17.92	*	*	*	*	*	*	*
SC	20072008	28	0001	055	ADAMS ELEM SCHOOL	44659	15.78	11.00	0.4783	19.97	*	*	*	*	*	*	*
SC	20082009	28	0001	055	ADAMS ELEM SCHOOL	44313	14.28	12.00	0.4800	22.47	*	*	*	*	*	*	*
SC	20092010	28	0001	055	ADAMS ELEM SCHOOL	46748	15.63	13.00	0.5417	20.97	*	*	*	*	*	*	*
SC	20102011	28	0001	055	ADAMS ELEM SCHOOL	47498	16.63	13.00	0.5417	20.97	*	*	*	*	*	19	*
SC	20002001	28	0001	059	BEALS ELEM SCHOOL	31640	10.54	11.00	0.4231	21.99	*	*	*	*	*	*	*
SC	20052006	28	0001	059	BEALS ELEM SCHOOL	36459	11.57	*	*	23.59	*	*	*	*	*	*	*
SC	20072008	28	0001	059	BEALS ELEM SCHOOL	41010	11.62	10.00	0.3448	25.03	*	*	*	*	*	*	*
SC	20082009	28	0001	059	BEALS ELEM SCHOOL	42841	12.43	11.00	0.3667	26.51	*	*	*	*	*	*	*
SC	20092010	28	0001	059	BEALS ELEM SCHOOL	43971	12.61	15.00	0.4839	27.40	*	*	*	*	*	*	*
SC	20102011	28	0001	059	BEALS ELEM SCHOOL	44759	12.38	17.00	0.5313	27.30	*	*	*	*	*	21	*
SC	20002001	28	0001	061	BELLE RYAN ELEM SCHOOL	33010	12.65	10.00	0.4348	18.68	*	*	*	*	*	*	*
SC	20052006	28	0001	061	BELLE RYAN ELEM SCHOOL	38146	11.52	13.00	0.6190	18.10	*	*	*	*	*	*	*
SC	20072008	28	0001	061	BELLE RYAN ELEM SCHOOL	38830	8.37	10.00	0.3704	22.70	*	*	*	*	*	*	*
SC	20082009	28	0001	061	BELLE RYAN ELEM SCHOOL	40934	8.76	11.00	0.4400	21.20	*	*	*	*	*	*	*
SC	20092010	28	0001	061	BELLE RYAN ELEM SCHOOL	42648	10.00	13.00	0.5652	18.65	*	*	*	*	*	*	*
SC	20102011	28	0001	061	BELLE RYAN ELEM SCHOOL	43148	10.17	13.00	0.5417	19.70	*	*	*	*	*	20	*
SC	20002001	28	0001	063	BELVEDERE ELEMENTARY SCHOOL	29711	9.69	*	*	40.40	*	*	*	*	*	*	*
SC	20052006	28	0001	063	BELVEDERE ELEMENTARY SCHOOL	35280	8.51	14.00	0.2979	43.37	*	*	*	*	*	*	*
SC	20072008	28	0001	063	BELVEDERE ELEMENTARY SCHOOL	39276	8.63	21.00	0.4375	44.10	*	*	*	*	*	*	*
SC	20082009	28	0001	063	BELVEDERE ELEMENTARY SCHOOL	39701	8.65	18.00	0.3529	46.41	*	*	*	*	*	*	*
SC	20092010	28	0001	063	BELVEDERE ELEMENTARY SCHOOL	41431	9.98	16.00	0.3265	43.20	*	*	*	*	*	*	*
SC	20102011	28	0001	063	BELVEDERE ELEMENTARY SCHOOL	41897	9.47	16.00	0.3404	44.35	*	*	*	*	*	36	*
SC	20002001	28	0001	065	BENSON WEST ELEM SCHOOL	32544	13.23	10.00	0.2326	37.62	*	*	*	*	*	*	*
SC	20052006	28	0001	065	BENSON WEST ELEM SCHOOL	37105	12.73	11.00	0.2750	37.60	*	*	*	*	*	*	*
SC	20072008	28	0001	065	BENSON WEST ELEM SCHOOL	40859	11.95	11.00	0.2750	37.60	*	*	*	*	*	*	*
SC	20082009	28	0001	065	BENSON WEST ELEM SCHOOL	41718	11.46	10.00	0.2439	37.20	*	*	*	*	*	*	*
SC	20092010	28	0001	065	BENSON WEST ELEM SCHOOL	41533	10.53	13.00	0.3250	36.70	*	*	*	*	*	*	*
SC	20102011	28	0001	065	BENSON WEST ELEM SCHOOL	42740	10.63	13.00	0.3250	36.80	*	*	*	*	*	34	*
SC	20002001	28	0001	067	BOYD ELEM SCHOOL	33082	13.90	11.00	0.3548	22.48	*	*	*	*	*	*	*
SC	20052006	28	0001	067	BOYD ELEM SCHOOL	35847	12.62	*	*	24.32	*	*	*	*	*	*	*
SC	20072008	28	0001	067	BOYD ELEM SCHOOL	38815	10.35	*	*	30.85	*	*	*	*	*	*	*
SC	20082009	28	0001	067	BOYD ELEM SCHOOL	40235	11.06	*	*	28.90	*	*	*	*	*	*	*
SC	20092010	28	0001	067	BOYD ELEM SCHOOL	39896	9.61	10.00	0.3030	29.40	*	*	*	*	*	*	*
SC	20102011	28	0001	067	BOYD ELEM SCHOOL	41572	10.69	11.00	0.3438	29.40	*	*	*	*	*	23	*
SC	20002001	28	0001	069	CASTELAR ELEMENTARY SCHOOL	33499	12.77	*	*	24.84	*	*	*	*	*	*	*
SC	20052006	28	0001	069	CASTELAR ELEMENTARY SCHOOL	36796	9.05	14.00	0.3684	35.90	*	*	*	*	*	*	*
SC	20072008	28	0001	069	CASTELAR ELEMENTARY SCHOOL	40472	10.22	21.00	0.4565	44.40	*	*	*	*	*	*	*
SC	20082009	28	0001	069	CASTELAR ELEMENTARY SCHOOL	41678	9.83	24.00	0.5217	43.90	*	*	*	*	*	*	*
SC	20092010	28	0001	069	CASTELAR ELEMENTARY SCHOOL	43275	10.34	23.00	0.4894	43.90	*	*	*	*	*	*	*
SC	20102011	28	0001	069	CASTELAR ELEMENTARY SCHOOL	45004	11.67	25.00	0.5435	42.57	*	*	*	*	*	34	*
SC	20002001	28	0001	071	CATLIN MAGNET CENTER	33062	14.45	*	*	17.23	*	*	*	*	*	*	*
SC	20052006	28	0001	071	CATLIN MAGNET CENTER	39572	12.87	12.00	0.5217	20.20	*	*	*	*	*	*	*
SC	20072008	28	0001	071	CATLIN MAGNET CENTER	44843	15.90	11.00	0.5238	18.20	*	*	*	*	*	*	*
SC	20082009	28	0001	071	CATLIN MAGNET CENTER	44369	13.42	11.00	0.4583	20.30	*	*	*	*	*	*	*
SC	20092010	28	0001	071	CATLIN MAGNET CENTER	45102	13.38	11.00	0.4583	19.80	*	*	*	*	*	*	*
SC	20102011	28	0001	071	CATLIN MAGNET CENTER	46270	15.54	12.00	0.5000	20.30	*	*	*	*	*	16	*
SC	20002001	28	0001	073	CENTRAL PARK ELEM SCHOOL	32638	11.45	21.00	0.4468	42.35	*	*	*	*	*	*	*
SC	20052006	28	0001	073	CENTRAL PARK ELEM SCHOOL	37733	10.98	20.00	0.4762	37.22	*	*	*	*	*	*	*
SC	20072008	28	0001	073	CENTRAL PARK ELEM SCHOOL	41104	11.02	19.00	0.4634	37.40	*	*	*	*	*	*	*
SC	20082009	28	0001	073	CENTRAL PARK ELEM SCHOOL	41774	10.51	15.00	0.3846	37.40	*	*	*	*	*	*	*
SC	20092010	28	0001	073	CENTRAL PARK ELEM SCHOOL	42041	11.20	20.00	0.5000	38.40	*	*	*	*	*	*	*
SC	20102011	28	0001	073	CENTRAL PARK ELEM SCHOOL	42964	11.41	20.00	0.4878	38.50	*	*	*	*	*	36	*
SC	20002001	28	0001	075	CHANDLER VIEW ELEM SCHOOL	33603	13.53	18.00	0.5294	30.58	*	*	*	*	*	*	*
SC	20052006	28	0001	075	CHANDLER VIEW ELEM SCHOOL	38027	10.92	17.00	0.4722	34.45	*	*	*	*	*	*	*
SC	20072008	28	0001	075	CHANDLER VIEW ELEM SCHOOL	41344	11.54	15.00	0.3846	37.45	*	*	*	*	*	*	*
SC	20082009	28	0001	075	CHANDLER VIEW ELEM SCHOOL	42958	11.78	16.00	0.3902	39.45	*	*	*	*	*	*	*
SC	20092010	28	0001	075	CHANDLER VIEW ELEM SCHOOL	44180	12.21	23.00	0.5476	40.45	*	*	*	*	*	*	*
SC	20102011	28	0001	075	CHANDLER VIEW ELEM SCHOOL	44763	12.93	24.00	0.5217	44.50	*	*	*	*	*	40	*
SC	20002001	28	0001	079	COLUMBIAN ELEM SCHOOL	32817	12.15	10.00	0.3846	19.35	*	*	*	*	*	*	*
SC	20052006	28	0001	079	COLUMBIAN ELEM SCHOOL	38650	12.22	12.00	0.5217	18.35	*	*	*	*	*	*	*
SC	20072008	28	0001	079	COLUMBIAN ELEM SCHOOL	42762	13.18	11.00	0.5000	18.35	*	*	*	*	*	*	*
SC	20082009	28	0001	079	COLUMBIAN ELEM SCHOOL	44903	13.33	11.00	0.5238	17.41	*	*	*	*	*	*	*
SC	20092010	28	0001	079	COLUMBIAN ELEM SCHOOL	45607	13.18	13.00	0.5909	18.25	*	*	*	*	*	*	*
SC	20102011	28	0001	079	COLUMBIAN ELEM SCHOOL	47043	14.38	13.00	0.6190	17.70	*	*	*	*	*	17	*
SC	20002001	28	0001	081	CONESTOGA MAGNET ELEM SCHOOL	30968	10.63	10.00	0.2857	30.43	*	*	*	*	*	*	*
SC	20052006	28	0001	081	CONESTOGA MAGNET ELEM SCHOOL	37043	12.63	12.00	0.4000	28.40	*	*	*	*	*	*	*
SC	20072008	28	0001	081	CONESTOGA MAGNET ELEM SCHOOL	39718	10.31	13.00	0.4063	30.40	*	*	*	*	*	*	*
SC	20082009	28	0001	081	CONESTOGA MAGNET ELEM SCHOOL	40292	8.81	14.00	0.4375	30.40	*	*	*	*	*	*	*
SC	20092010	28	0001	081	CONESTOGA MAGNET ELEM SCHOOL	41857	10.84	16.00	0.5000	30.40	*	*	*	*	*	*	*
SC	20102011	28	0001	081	CONESTOGA MAGNET ELEM SCHOOL	42302	10.09	16.00	0.4848	31.40	*	*	*	*	*	28	*
SC	20002001	28	0001	085	CRESTRIDGE MAGNET CENTER	33881	14.58	10.00	0.3846	21.10	*	*	*	*	*	*	*
SC	20052006	28	0001	085	CRESTRIDGE MAGNET CENTER	40429	13.04	11.00	0.4231	21.30	*	*	*	*	*	*	*
SC	20072008	28	0001	085	CRESTRIDGE MAGNET CENTER	43063	12.31	13.00	0.5000	23.60	*	*	*	*	*	*	*
SC	20082009	28	0001	085	CRESTRIDGE MAGNET CENTER	43629	12.17	14.00	0.4828	26.65	*	*	*	*	*	*	*
SC	20092010	28	0001	085	CRESTRIDGE MAGNET CENTER	44596	11.79	13.00	0.4643	25.95	*	*	*	*	*	*	*
SC	20102011	28	0001	085	CRESTRIDGE MAGNET CENTER	45849	13.00	13.00	0.4483	27.25	*	*	*	*	*	23	*
SC	20002001	28	0001	089	DODGE ELEM SCHOOL	34449	14.77	12.00	0.4615	19.48	*	*	*	*	*	*	*
SC	20052006	28	0001	089	DODGE ELEM SCHOOL	38337	13.04	10.00	0.3704	20.97	*	*	*	*	*	*	*
SC	20072008	28	0001	089	DODGE ELEM SCHOOL	41825	13.18	*	*	22.97	*	*	*	*	*	*	*
SC	20082009	28	0001	089	DODGE ELEM SCHOOL	43391	13.69	12.00	0.4615	21.87	*	*	*	*	*	*	*
SC	20092010	28	0001	089	DODGE ELEM SCHOOL	45514	15.12	15.00	0.6000	20.87	*	*	*	*	*	*	*
SC	20102011	28	0001	089	DODGE ELEM SCHOOL	46067	14.92	14.00	0.5385	21.22	*	*	*	*	*	20	*
