Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	Hispanic	American Indian / Alaskan Native	Asian	Black or African American	Native Hawaiian or Other Pacific Islander	White	Two or More Races
SC	20092010	01	0018	002	HASTINGS MIDDLE SCHOOL	48824	16.66	36.00	0.6429	50.05	*	*	*	*	*	*	*
SC	20102011	01	0018	002	HASTINGS MIDDLE SCHOOL	50422	15.81	39.00	0.6724	51.38	*	*	*	*	*	50	*
SC	20002001	01	0018	003	ALCOTT ELEMENTARY SCHOOL	33405	15.71	14.00	0.5000	25.06	*	*	*	*	*	*	*
SC	20052006	01	0018	003	ALCOTT ELEMENTARY SCHOOL	44952	20.13	15.00	0.6522	21.23	*	*	*	*	*	*	*
SC	20072008	01	0018	003	ALCOTT ELEMENTARY SCHOOL	44791	15.39	12.00	0.5217	21.68	*	*	*	*	*	*	*
SC	20082009	01	0018	003	ALCOTT ELEMENTARY SCHOOL	45035	11.95	10.00	0.4545	19.66	*	*	*	*	*	*	*
SC	20092010	01	0018	003	ALCOTT ELEMENTARY SCHOOL	47057	14.04	11.00	0.4783	21.25	*	*	*	*	*	*	*
SC	20102011	01	0018	003	ALCOTT ELEMENTARY SCHOOL	48632	14.48	12.00	0.5217	21.60	*	*	*	*	*	22	*
SC	20002001	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	35233	16.76	*	*	21.68	*	*	*	*	*	*	*
SC	20052006	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	43407	17.27	15.00	0.5769	22.32	*	*	*	*	*	*	*
SC	20072008	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	42941	14.76	13.00	0.4483	24.15	*	*	*	*	*	*	*
SC	20082009	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	46154	15.27	13.00	0.5000	21.67	*	*	*	*	*	*	*
SC	20092010	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	47481	15.64	13.00	0.4643	23.46	*	*	*	*	*	*	*
SC	20102011	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	48970	13.71	12.00	0.4286	23.57	*	*	*	*	*	24	*
SC	20002001	01	0018	005	LINCOLN ELEMENTARY SCHOOL	33474	14.93	13.00	0.4643	23.46	*	*	*	*	*	*	*
SC	20052006	01	0018	005	LINCOLN ELEMENTARY SCHOOL	41209	13.84	10.00	0.4000	22.60	*	*	*	*	*	*	*
SC	20072008	01	0018	005	LINCOLN ELEMENTARY SCHOOL	45264	16.73	13.00	0.5000	23.64	*	*	*	*	*	*	*
SC	20082009	01	0018	005	LINCOLN ELEMENTARY SCHOOL	46507	15.65	12.00	0.4615	23.72	*	*	*	*	*	*	*
SC	20092010	01	0018	005	LINCOLN ELEMENTARY SCHOOL	50342	18.14	15.00	0.5357	24.93	*	*	*	*	*	*	*
SC	20102011	01	0018	005	LINCOLN ELEMENTARY SCHOOL	51145	17.46	13.00	0.4643	25.68	*	*	*	*	*	24	*
SC	20002001	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	34778	16.25	16.00	0.5000	27.84	*	*	*	*	*	*	*
SC	20052006	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	42987	17.89	15.00	0.5357	25.84	*	*	*	*	*	*	*
