Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	White, Not Hispanic	Black, Not Hispanic	Hispanic	Asian / Pacific Islanders	American Indian / Alaskan Native
DI	20032004	01	0015	000	DIST 015 - ADAMS COUNTY	33620	15.25	*	*	*	*	*	*	*	*
DI	20042005	01	0015	000	DIST 015 - ADAMS COUNTY	35696	16.25	*	*	*	*	*	*	*	*
DI	20052006	01	0015	000	DIST 015 - ADAMS COUNTY	38571	17.43	*	*	*	*	*	*	*	*
SC	19951996	01	0015	001	DIST 015 - ADAMS COUNTY	30116	17.67	*	*	*					
SC	20002001	01	0015	001	DIST 015 - ADAMS COUNTY	29010	11.75	*	*	*					
SC	20032004	01	0015	001	DIST 015 - ADAMS COUNTY	33620	15.25	*	*	*	*	*	*	*	*
SC	20042005	01	0015	001	DIST 015 - ADAMS COUNTY	35696	16.25	*	*	*	*	*	*	*	*
SC	20052006	01	0015	001	DIST 015 - ADAMS COUNTY	38571	17.43	*	*	*	*	*	*	*	*
DI	19951996	01	0018	000	HASTINGS PUBLIC SCHOOLS	32774	17.73	17.73	0.4303	206.52					
DI	20002001	01	0018	000	HASTINGS PUBLIC SCHOOLS	34393	16.54	16.54	0.4350	235.67					
DI	20032004	01	0018	000	HASTINGS PUBLIC SCHOOLS	38552	16.07	16.07	0.4638	226.40	226	*	*	*	*
DI	20042005	01	0018	000	HASTINGS PUBLIC SCHOOLS	40783	16.57	16.57	0.4957	225.73	226	*	*	*	*
DI	20052006	01	0018	000	HASTINGS PUBLIC SCHOOLS	42326	16.42	16.42	0.5435	224.17	224	*	*	*	*
SC	19951996	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	33437	17.77	17.77	0.5645	58.54					
SC	20002001	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	35155	17.67	17.67	0.5467	71.26					
SC	20032004	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	39311	16.71	16.71	0.5479	70.38	70	*	*	*	*
SC	20042005	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	42363	17.81	17.81	0.6111	69.88	70	*	*	*	*
SC	20052006	01	0018	001	HASTINGS SENIOR HIGH SCHOOL	43211	16.85	16.85	0.5833	69.88	70	*	*	*	*
SC	19951996	01	0018	002	HASTINGS MIDDLE SCHOOL	32209	18.91	18.91	0.3939	29.96					
SC	20002001	01	0018	002	HASTINGS MIDDLE SCHOOL	31942	15.66	15.66	0.2895	33.81					
SC	20032004	01	0018	002	HASTINGS MIDDLE SCHOOL	35384	13.34	13.34	0.3684	34.51	35	*	*	*	*
SC	20042005	01	0018	002	HASTINGS MIDDLE SCHOOL	37342	12.62	12.62	0.3333	34.97	35	*	*	*	*
SC	20052006	01	0018	002	HASTINGS MIDDLE SCHOOL	38525	13.29	13.29	0.4737	34.52	35	*	*	*	*
SC	19951996	01	0018	003	ALCOTT ELEMENTARY SCHOOL	33110	19.00	19.00	0.5217	20.65					
SC	20002001	01	0018	003	ALCOTT ELEMENTARY SCHOOL	33405	15.71	15.71	0.5000	25.06					
SC	20032004	01	0018	003	ALCOTT ELEMENTARY SCHOOL	39754	17.87	17.87	0.5652	22.00	22	*	*	*	*
SC	20042005	01	0018	003	ALCOTT ELEMENTARY SCHOOL	42129	18.83	18.83	0.5417	22.00	22	*	*	*	*
SC	20052006	01	0018	003	ALCOTT ELEMENTARY SCHOOL	44952	20.13	20.13	0.6522	21.23	21	*	*	*	*
SC	19951996	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	33069	18.78	*	*	20.53					
SC	20002001	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	35233	16.76	*	*	21.68					
SC	20032004	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	40209	16.93	16.93	0.3704	20.38	20	*	*	*	*
SC	20042005	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	41620	17.36	17.36	0.4286	21.38	21	*	*	*	*
SC	20052006	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	43407	17.27	17.27	0.5769	22.32	22	*	*	*	*
SC	19951996	01	0018	005	LINCOLN ELEMENTARY SCHOOL	30861	14.28	14.28	0.3793	21.68					
SC	20002001	01	0018	005	LINCOLN ELEMENTARY SCHOOL	33474	14.93	14.93	0.4643	23.46					
SC	20032004	01	0018	005	LINCOLN ELEMENTARY SCHOOL	35584	13.76	*	*	24.23	24	*	*	*	*
SC	20042005	01	0018	005	LINCOLN ELEMENTARY SCHOOL	38760	14.70	14.70	0.3704	24.13	24	*	*	*	*
SC	20052006	01	0018	005	LINCOLN ELEMENTARY SCHOOL	41209	13.84	13.84	0.4000	22.60	23	*	*	*	*
SC	19951996	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	32994	17.82	17.82	0.3939	25.01					
SC	20002001	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	34778	16.25	16.25	0.5000	27.84					
SC	20032004	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	39278	17.14	17.14	0.5357	25.99	26	*	*	*	*
SC	20042005	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	40931	18.07	18.07	0.5185	24.49	24	*	*	*	*
SC	20052006	01	0018	006	LONGFELLOW ELEMENTARY SCHOOL	42987	17.89	17.89	0.5357	25.84	26	*	*	*	*
SC	19951996	01	0018	007	MORTON ELEMENTARY SCHOOL	32537	18.05	*	*	17.68					
SC	20002001	01	0018	007	MORTON ELEMENTARY SCHOOL	34142	17.91	*	*	19.07					
SC	20032004	01	0018	007	MORTON ELEMENTARY SCHOOL	40245	19.32	19.32	0.4545	18.31	18	*	*	*	*
SC	20042005	01	0018	007	MORTON ELEMENTARY SCHOOL	41392	20.13	20.13	0.5000	19.43	19	*	*	*	*
SC	20052006	01	0018	007	MORTON ELEMENTARY SCHOOL	42883	20.05	20.05	0.5000	18.24	18	*	*	*	*
SC	19951996	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	33134	18.85	*	*	11.24					
SC	20002001	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	35289	20.16	*	*	*					
SC	20032004	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	37817	17.00	*	*	*	*	*	*	*	*
SC	20042005	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	38837	15.75	*	*	*	*	*	*	*	*
SC	20052006	01	0018	008	RAYMOND A WATSON ELEM SCHOOL	42146	16.72	16.72	0.6111	*	10	*	*	*	*
DI	19951996	01	0033	000	TRI-VIEW PUBLIC SCHOOL	29236	12.67	*	*	*					
DI	20002001	01	0033	000	TRI-VIEW PUBLIC SCHOOL	34784	17.67	*	*	*					
DI	20032004	01	0033	000	TRI-VIEW PUBLIC SCHOOL	46998	20.67	*	*	*	*	*	*	*	*
