DATAYEARS,Co-Dist,DISTNAME,COUNTY_NAME,CLASS_CODE,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SchoolName,GRADE_CODE,FWNH,MWNH,FAPI,MAPI,FH,MH,FAIA,MAIA,FBNH,MBNH,Male,Female,TOTAL
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,02,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,03,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,04,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,05,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,06,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,07,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,08,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,09,88,84,1,0,19,25,0,2,1,4,115,109,224
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,10,97,85,3,4,19,17,0,2,3,2,110,122,232
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,11,104,86,3,2,25,19,1,1,2,2,110,135,245
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,12,107,89,4,3,19,6,3,3,4,2,103,137,240
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,K ,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,PK,0,0,0,0,0,0,0,0,0,0,0,0,0
20082009,01-0018,HASTINGS PUBLIC SCHOOLS       ,ADAMS,3,P,01-0018-002,01,0018,002,HASTINGS MIDDLE SCHOOL        ,01,0,0,0,0,0,0,0,0,0,0,0,0,0
