DATAYEARS,Co-Dist,DistName,CLASS_CODE,COUNTY_NAME,DISTRICT_TYPE_CODE,AGENCYID,COUNTY,DISTRICT,SCHOOL,SchName,GRADE_CODE,FWNH,MWNH,FAPI,MAPI,FH,MH,FAIA,MAIA,FBNH,MBNH,Male,Female,TOTAL
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,02,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,03,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,04,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,05,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,06,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,07,0,0,0,0,0,0,0,0,0,0,0,0,0
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,08,0,1,0,0,0,0,0,0,0,0,1,0,1
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,09,95,90,4,4,12,17,0,1,3,2,114,114,228
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,10,104,93,4,2,22,20,0,0,2,2,117,132,249
20072008,01-0018,HASTINGS PUBLIC SCHOOLS       ,3,ADAMS,P,01-0018-001,01,0018,001,HASTINGS SENIOR HIGH SCHOOL   ,11,110,88,2,1,17,6,3,3,2,1,99,134,233
