"DATAYEARS","COUNTY_NAME","CLASS_CODE","CLASS_LITERAL","DistrictName","COUNTY","DISTRICT","SCHOOL","SchoolName","GRADE_CODE","FWNH","MWNH","FAPI","MAPI","FH","MH","FAIA","MAIA","FBNH","MBNH","TOTAL","MALE","FEMALE"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 03","00","0003","011","BROOK VALLEY SCHOOL","12","0","5","0","0","0","0","0","0","0","0","5","5","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 03","00","0003","011","BROOK VALLEY SCHOOL","K ","1","0","0","0","0","0","0","0","0","1","2","1","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 03","00","0003","014","ECSE-FT CALHOUN","PK","10","12","0","0","0","0","0","0","0","1","23","13","10"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 03","00","0003","015","ECSE-BENNINGTON","PK","6","6","0","0","0","0","0","0","0","2","14","8","6"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","001","MENTALLY HANDICAPPED","06","1","0","0","0","0","0","0","0","0","0","1","0","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","001","MENTALLY HANDICAPPED","08","2","0","0","0","0","0","0","0","0","0","2","0","2"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","001","MENTALLY HANDICAPPED","09","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","001","MENTALLY HANDICAPPED","10","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","001","MENTALLY HANDICAPPED","12","2","3","0","0","0","0","0","0","2","0","7","3","4"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","004","PRESCHOOL PROGRAM","PK","3","3","0","0","1","0","0","0","0","0","7","3","4"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","005","MULTI-HANDICAPPED","05","0","0","1","0","0","0","0","0","0","0","1","0","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","005","MULTI-HANDICAPPED","11","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","005","MULTI-HANDICAPPED","12","1","1","0","0","0","0","0","0","0","0","2","1","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","006","NE CENTER FOR EDUC OF BLIND","03","1","0","0","0","0","0","0","0","0","0","1","0","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","006","NE CENTER FOR EDUC OF BLIND","04","0","2","0","0","0","0","0","0","0","0","2","2","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","006","NE CENTER FOR EDUC OF BLIND","08","1","1","0","0","0","0","0","0","0","0","2","1","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","006","NE CENTER FOR EDUC OF BLIND","09","1","1","0","0","0","0","0","0","0","0","2","1","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","006","NE CENTER FOR EDUC OF BLIND","10","0","1","0","0","0","1","0","0","0","0","2","2","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","006","NE CENTER FOR EDUC OF BLIND","11","1","0","0","0","0","0","0","0","0","0","1","0","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 04","00","0004","006","NE CENTER FOR EDUC OF BLIND","12","2","1","0","0","0","0","0","0","0","0","3","1","2"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 05","00","0005","001","EDUCATIONAL SERVICE UNIT 5","PK","8","16","0","0","0","0","0","0","0","0","24","16","8"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","001","EASTERN LEARNING CENTER","01","1","1","0","0","0","1","0","0","0","0","3","2","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","001","EASTERN LEARNING CENTER","02","1","1","0","0","0","0","0","0","0","0","2","1","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","001","EASTERN LEARNING CENTER","03","1","2","0","0","1","0","0","0","0","0","4","2","2"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","001","EASTERN LEARNING CENTER","04","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","001","EASTERN LEARNING CENTER","05","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","001","EASTERN LEARNING CENTER","06","1","1","0","0","0","0","0","0","0","0","2","1","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","001","EASTERN LEARNING CENTER","07","2","1","0","0","0","0","0","0","0","0","3","1","2"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","001","EASTERN LEARNING CENTER","08","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","001","EASTERN LEARNING CENTER","10","0","1","0","0","0","0","0","0","0","0","1","1","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","001","EASTERN LEARNING CENTER","11","0","3","0","0","0","0","0","0","0","0","3","3","0"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","001","EASTERN LEARNING CENTER","12","1","0","0","0","0","0","0","0","0","0","1","0","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","001","EASTERN LEARNING CENTER","K ","1","1","0","0","0","0","0","0","0","0","2","1","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","002","CENTRAL LEARNING CENTER","05","1","0","0","0","0","0","0","0","0","0","1","0","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","002","CENTRAL LEARNING CENTER","08","1","0","0","0","0","0","0","0","0","0","1","0","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","002","CENTRAL LEARNING CENTER","09","1","0","0","0","0","0","0","0","0","0","1","0","1"
"20042005","EDUCATIONAL SERVICE UNITS","0","ESU/INTERIM PROGRAM","EDUCATIONAL SERVICE UNIT 08","00","0008","002","CENTRAL LEARNING CENTER","10","0","1","0","0","0","0","0","0","0","0","1","1","0"
