"DATAYEARS","co-dist","DISTNAME","COUNTY_NAME","CLASS_CODE","DISTRICT_TYPE_CODE","AGENCYID","COUNTY","DISTRICT","SCHOOL","SchoolName","grade_code","FWNH","MWNH","FAPI","MAPI","FH","MH","FAIA","MAIA","FBNH","MBNH","MALE","FEMALE","TOTAL"
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-001","01","0018","001","HASTINGS SENIOR HIGH SCHOOL   ","K ",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-001","01","0018","001","HASTINGS SENIOR HIGH SCHOOL   ","01",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-001","01","0018","001","HASTINGS SENIOR HIGH SCHOOL   ","02",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-001","01","0018","001","HASTINGS SENIOR HIGH SCHOOL   ","03",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-001","01","0018","001","HASTINGS SENIOR HIGH SCHOOL   ","04",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-001","01","0018","001","HASTINGS SENIOR HIGH SCHOOL   ","05",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-001","01","0018","001","HASTINGS SENIOR HIGH SCHOOL   ","06",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-001","01","0018","001","HASTINGS SENIOR HIGH SCHOOL   ","07",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-001","01","0018","001","HASTINGS SENIOR HIGH SCHOOL   ","08",0,0,0,0,0,0,0,0,0,0,0,0,0
"20062007","01-0018","HASTINGS PUBLIC SCHOOLS       ","ADAMS","3","P","01-0018-001","01","0018","001","HASTINGS SENIOR HIGH SCHOOL   ","09",97,92,4,2,20,21,0,1,2,1,117,123,240
