Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master’s Degrees	Teacher FTE	AM_5	AS_5	BL_5	HI_5	WH_5	AM_7	AS_7	BL_7	HI_7	PI_7	WH_7	MU_7	DataAsOf	
SC	20092010	01	0018	003	ALCOTT ELEMENTARY SCHOOL	47057	14.04	11	0.4783	21.25	0.00	0.00	0.00	0.00	21.25								11/26/2012	
SC	20102011	01	0018	003	ALCOTT ELEMENTARY SCHOOL	48632	14.48	12	0.5217	21.60						0.00	0.00	0.00	0.00	0.00	21.60	0.00	11/26/2012	
SC	20112012	01	0018	003	ALCOTT ELEMENTARY SCHOOL	49928	15.60	12	0.4800	23.65						0.00	0.00	0.00	1.00	0.00	22.65	0.00	11/26/2012	
SC	20122013	01	0018	003	ALCOTT ELEMENTARY SCHOOL	50344	15.64	13	0.5200	23.65						0.00	0.00	0.00	1.00	0.00	22.65	0.00	07/05/2013	
SC	20082009	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	46154	15.27	13	0.5000	21.67	0.00	0.00	0.00	0.00	21.67								11/26/2012	
SC	20092010	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	47481	15.64	13	0.4643	23.46	0.00	0.00	0.00	0.00	23.46								11/26/2012	
SC	20102011	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	48970	13.71	12	0.4286	23.57						0.00	0.00	0.00	0.00	0.00	23.57	0.00	11/26/2012	
SC	20112012	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	50584	15.59	16	0.5517	24.52						0.00	0.00	0.00	0.00	0.00	24.52	0.00	11/26/2012	
SC	20122013	01	0018	004	HAWTHORNE ELEMENTARY SCHOOL	52104	16.04	17	0.6071	24.12						0.00	0.00	0.00	0.00	0.00	24.12	0.00	07/05/2013	
SC	20082009	01	0018	005	LINCOLN ELEMENTARY SCHOOL	46507	15.65	12	0.4615	23.72	0.00	0.00	0.90	0.00	22.82								11/26/2012	
SC	20092010	01	0018	005	LINCOLN ELEMENTARY SCHOOL	50342	18.14	15	0.5357	24.93	0.00	0.00	1.00	0.00	23.93								11/26/2012	
SC	20102011	01	0018	005	LINCOLN ELEMENTARY SCHOOL	51145	17.46	13	0.4643	25.68						0.00	1.00	1.00	0.00	0.00	23.68	0.00	11/26/2012	
