Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master’s Degrees	Teacher FTE	AM_5	AS_5	BL_5	HI_5	WH_5	AM_7	AS_7	BL_7	HI_7	PI_7	WH_7	MU_7	DataAsOf	
SC	20122013	11	0020	002	NORTHEAST ELEMENTARY AT LYONS	48657	15.27	4	0.2667	11.60						0.00	0.00	0.14	0.00	0.00	11.46	0.00	07/05/2013	
DI	20082009	12	0032	000	RISING CITY PUBLIC SCHOOLS	37846	13.93	4	0.2857	13.50	0.00	0.00	0.00	0.00	13.50								11/26/2012	
DI	20092010	12	0032	000	RISING CITY PUBLIC SCHOOLS	37166	13.36	4	0.2857	13.70	0.00	0.00	0.00	0.00	13.70								11/26/2012	
DI	20102011	12	0032	000	RISING CITY PUBLIC SCHOOLS	45104	14.57	4	0.2857	12.84						0.00	0.00	0.00	0.00	0.00	12.01	0.83	11/26/2012	
SC	20082009	12	0032	001	RISING CITY HIGH SCHOOL	36300	11.91	3	0.2727	7.50	0.00	0.00	0.00	0.00	7.50								11/26/2012	
SC	20092010	12	0032	001	RISING CITY HIGH SCHOOL	35222	10.91	3	0.2727	7.96	0.00	0.00	0.00	0.00	7.96								11/26/2012	
SC	20102011	12	0032	001	RISING CITY HIGH SCHOOL	41878	12.18	3	0.2727	7.59						0.00	0.00	0.00	0.00	0.00	6.93	0.66	11/26/2012	
SC	20082009	12	0032	002	RISING CITY ELEMENTARY SCHOOL	37750	14.44	3	0.3333	6.00	0.00	0.00	0.00	0.00	6.00								11/26/2012	
SC	20092010	12	0032	002	RISING CITY ELEMENTARY SCHOOL	36571	13.00	3	0.3333	5.74	0.00	0.00	0.00	0.00	5.74								11/26/2012	
SC	20102011	12	0032	002	RISING CITY ELEMENTARY SCHOOL	47736	16.44	4	0.4444	5.25						0.00	0.00	0.00	0.00	0.00	5.08	0.17	11/26/2012	
DI	20082009	12	0056	000	DAVID CITY PUBLIC SCHOOLS	43460	16.30	23	0.3833	58.75	0.00	0.00	0.00	0.00	58.75								11/26/2012	
DI	20092010	12	0056	000	DAVID CITY PUBLIC SCHOOLS	44909	17.47	23	0.3898	58.25	0.00	0.00	0.00	0.00	58.25								11/26/2012	
DI	20102011	12	0056	000	DAVID CITY PUBLIC SCHOOLS	46802	16.68	24	0.4068	58.49						0.00	0.00	0.00	0.00	0.00	58.49	0.00	11/26/2012	
DI	20112012	12	0056	000	DAVID CITY PUBLIC SCHOOLS	44943	14.05	20	0.3448	57.75						0.00	0.00	0.00	0.00	0.00	57.75	0.00	11/26/2012	
DI	20122013	12	0056	000	DAVID CITY PUBLIC SCHOOLS	45796	12.70	26	0.4333	58.27						0.00	0.00	0.00	0.00	0.00	58.27	0.00	07/05/2013	
SC	20082009	12	0056	001	DAVID CITY SECONDARY SCHOOL	44069	16.57	13	0.4643	26.75	0.00	0.00	0.00	0.00	26.75								11/26/2012	
SC	20092010	12	0056	001	DAVID CITY SECONDARY SCHOOL	46511	19.30	12	0.4444	26.05	0.00	0.00	0.00	0.00	26.05								11/26/2012	
SC	20102011	12	0056	001	DAVID CITY SECONDARY SCHOOL	47265	18.41	12	0.4444	25.54						0.00	0.00	0.00	0.00	0.00	25.54	0.00	11/26/2012	
SC	20112012	12	0056	001	DAVID CITY SECONDARY SCHOOL	44265	12.62	9	0.3462	24.80						0.00	0.00	0.00	0.00	0.00	24.80	0.00	11/26/2012	
SC	20122013	12	0056	001	DAVID CITY SECONDARY SCHOOL	45024	13.00	9	0.3214	25.68						0.00	0.00	0.00	0.00	0.00	25.68	0.00	07/05/2013	
SC	20082009	12	0056	002	DAVID CITY ELEMENTARY SCHOOL	42854	15.13	8	0.3478	21.45	0.00	0.00	0.00	0.00	21.45								11/26/2012	
SC	20092010	12	0056	002	DAVID CITY ELEMENTARY SCHOOL	44047	16.14	8	0.3636	20.95	0.00	0.00	0.00	0.00	20.95								11/26/2012	
SC	20102011	12	0056	002	DAVID CITY ELEMENTARY SCHOOL	46373	16.23	9	0.4091	21.45						0.00	0.00	0.00	0.00	0.00	21.45	0.00	11/26/2012	
SC	20112012	12	0056	002	DAVID CITY ELEMENTARY SCHOOL	46508	16.09	8	0.3636	21.06						0.00	0.00	0.00	0.00	0.00	21.06	0.00	11/26/2012	
SC	20122013	12	0056	002	DAVID CITY ELEMENTARY SCHOOL	47093	11.95	13	0.5909	21.06						0.00	0.00	0.00	0.00	0.00	21.06	0.00	07/05/2013	
SC	20082009	12	0056	003	BELLWOOD ATTENDANCE CENTER	42340	16.62	2	0.1538	10.55	0.00	0.00	0.00	0.00	10.55								11/26/2012	
SC	20092010	12	0056	003	BELLWOOD ATTENDANCE CENTER	42614	15.73	3	0.2000	11.25	0.00	0.00	0.00	0.00	11.25								11/26/2012	
SC	20102011	12	0056	003	BELLWOOD ATTENDANCE CENTER	45413	14.40	3	0.2000	11.50						0.00	0.00	0.00	0.00	0.00	11.50	0.00	11/26/2012	
SC	20112012	12	0056	003	BELLWOOD ATTENDANCE CENTER	42851	13.29	3	0.2143	11.89						0.00	0.00	0.00	0.00	0.00	11.89	0.00	11/26/2012	
SC	20122013	12	0056	003	BELLWOOD ATTENDANCE CENTER	45045	13.40	4	0.2667	11.53						0.00	0.00	0.00	0.00	0.00	11.53	0.00	07/05/2013	
DI	20082009	12	0502	000	EAST BUTLER PUBLIC SCHOOLS	45405	19.87	18	0.6000	30.00	0.00	0.00	0.00	0.00	30.00								11/26/2012	
DI	20092010	12	0502	000	EAST BUTLER PUBLIC SCHOOLS	44989	18.67	17	0.5667	29.08	0.00	0.00	0.00	0.00	29.08								11/26/2012	
DI	20102011	12	0502	000	EAST BUTLER PUBLIC SCHOOLS	45076	17.95	19	0.5135	36.04						0.00	0.00	0.00	0.00	0.00	35.04	1.00	11/26/2012	
DI	20112012	12	0502	000	EAST BUTLER PUBLIC SCHOOLS	45595	17.57	17	0.4595	36.07						0.00	0.00	0.00	0.00	0.00	35.07	1.00	11/26/2012	
DI	20122013	12	0502	000	EAST BUTLER PUBLIC SCHOOLS	48616	19.18	18	0.5294	33.26						0.00	0.00	0.00	0.00	0.00	32.26	1.00	07/05/2013	
SC	20082009	12	0502	001	HIGH SCHOOL AT BRAINARD	45142	21.31	9	0.5625	14.80	0.00	0.00	0.00	0.00	14.80								11/26/2012	
SC	20092010	12	0502	001	HIGH SCHOOL AT BRAINARD	46206	22.71	10	0.5882	14.88	0.00	0.00	0.00	0.00	14.88								11/26/2012	
SC	20102011	12	0502	001	HIGH SCHOOL AT BRAINARD	46562	22.20	11	0.5500	16.07						0.00	0.00	0.00	0.00	0.00	15.82	0.25	11/26/2012	
SC	20112012	12	0502	001	HIGH SCHOOL AT BRAINARD	47126	21.84	10	0.5263	16.10						0.00	0.00	0.00	0.00	0.00	15.85	0.25	11/26/2012	
SC	20122013	12	0502	001	HIGH SCHOOL AT BRAINARD	50104	22.05	12	0.6316	15.81						0.00	0.00	0.00	0.00	0.00	15.56	0.25	07/05/2013	
SC	20082009	12	0502	002	ELEMENTARY SCHOOL AT BRAINARD	45175	19.08	7	0.5833	8.60	0.00	0.00	0.00	0.00	8.60								11/26/2012	
SC	20092010	12	0502	002	ELEMENTARY SCHOOL AT BRAINARD	43681	15.00	6	0.5455	7.60	0.00	0.00	0.00	0.00	7.60								11/26/2012	
SC	20102011	12	0502	002	ELEMENTARY SCHOOL AT BRAINARD	45482	15.00	7	0.5833	8.61						0.00	0.00	0.00	0.00	0.00	8.36	0.25	11/26/2012	
SC	20112012	12	0502	002	ELEMENTARY SCHOOL AT BRAINARD	43787	13.77	5	0.3846	8.76						0.00	0.00	0.00	0.00	0.00	8.51	0.25	11/26/2012	
SC	20122013	12	0502	002	ELEMENTARY SCHOOL AT BRAINARD	46512	15.17	5	0.4167	9.30						0.00	0.00	0.00	0.00	0.00	9.05	0.25	07/05/2013	
SC	20082009	12	0502	003	ELEMENTARY SCHOOL AT DWIGHT	43329	17.40	4	0.4000	6.60	0.00	0.00	0.00	0.00	6.60								11/26/2012	
SC	20092010	12	0502	003	ELEMENTARY SCHOOL AT DWIGHT	42986	16.70	3	0.3000	6.60	0.00	0.00	0.00	0.00	6.60								11/26/2012	
SC	20102011	12	0502	003	ELEMENTARY SCHOOL AT DWIGHT	44517	15.20	4	0.4000	6.76						0.00	0.00	0.00	0.00	0.00	6.51	0.25	11/26/2012	
SC	20112012	12	0502	003	ELEMENTARY SCHOOL AT DWIGHT	44625	14.90	3	0.3000	6.71						0.00	0.00	0.00	0.00	0.00	6.46	0.25	11/26/2012	
SC	20122013	12	0502	003	ELEMENTARY SCHOOL AT DWIGHT	49266	19.13	2	0.2500	5.65						0.00	0.00	0.00	0.00	0.00	5.40	0.25	07/05/2013	
SC	20102011	12	0502	005	EAST BUTLER ELEMENTARY AT PRAGUE	41217	15.17	0	0.0000	4.60						0.00	0.00	0.00	0.00	0.00	4.35	0.25	11/26/2012	
SC	20112012	12	0502	005	EAST BUTLER ELEMENTARY AT PRAGUE	43800	14.71	0	0.0000	4.50						0.00	0.00	0.00	0.00	0.00	4.25	0.25	11/26/2012	
SC	20122013	12	0502	005	EAST BUTLER ELEMENTARY AT PRAGUE	46397	21.50	0	0.0000	2.50						0.00	0.00	0.00	0.00	0.00	2.25	0.25	07/05/2013	
DI	20082009	13	0001	000	PLATTSMOUTH COMMUNITY SCHOOLS	42926	12.40	62	0.4627	131.75	0.00	0.00	0.00	0.00	131.75								11/26/2012	
DI	20092010	13	0001	000	PLATTSMOUTH COMMUNITY SCHOOLS	42158	13.11	68	0.4857	137.75	0.00	0.00	0.00	0.00	137.75								11/26/2012	
DI	20102011	13	0001	000	PLATTSMOUTH COMMUNITY SCHOOLS	45062	14.06	73	0.5069	139.11						0.00	0.00	0.00	0.00	0.00	139.11	0.00	11/26/2012	
DI	20112012	13	0001	000	PLATTSMOUTH COMMUNITY SCHOOLS	45611	14.56	67	0.4855	133.16						0.00	0.00	0.00	0.00	0.00	133.16	0.00	11/26/2012	
DI	20122013	13	0001	000	PLATTSMOUTH COMMUNITY SCHOOLS	46981	14.40	83	0.5971	135.14						0.00	0.00	0.00	0.00	0.00	135.14	0.00	07/05/2013	
SC	20082009	13	0001	001	PLATTSMOUTH HIGH SCHOOL	43655	11.51	23	0.5349	42.25	0.00	0.00	0.00	0.00	42.25								11/26/2012	
SC	20092010	13	0001	001	PLATTSMOUTH HIGH SCHOOL	43311	12.66	22	0.5000	42.75	0.00	0.00	0.00	0.00	42.75								11/26/2012	
SC	20102011	13	0001	001	PLATTSMOUTH HIGH SCHOOL	47179	14.38	26	0.5778	43.12						0.00	0.00	0.00	0.00	0.00	43.12	0.00	11/26/2012	
SC	20112012	13	0001	001	PLATTSMOUTH HIGH SCHOOL	47331	14.00	24	0.5217	42.57						0.00	0.00	0.00	0.00	0.00	42.57	0.00	11/26/2012	
SC	20122013	13	0001	001	PLATTSMOUTH HIGH SCHOOL	48819	13.96	30	0.6383	42.45						0.00	0.00	0.00	0.00	0.00	42.45	0.00	07/05/2013	
SC	20082009	13	0001	003	PLATTSMOUTH MIDDLE SCHOOL	42706	12.31	16	0.3810	38.50	0.00	0.00	0.00	0.00	38.50								11/26/2012	
SC	20092010	13	0001	003	PLATTSMOUTH MIDDLE SCHOOL	43439	13.49	21	0.4884	38.50	0.00	0.00	0.00	0.00	38.50								11/26/2012	
SC	20102011	13	0001	003	PLATTSMOUTH MIDDLE SCHOOL	47710	15.20	22	0.5000	37.64						0.00	0.00	0.00	0.00	0.00	37.64	0.00	11/26/2012	
SC	20112012	13	0001	003	PLATTSMOUTH MIDDLE SCHOOL	47382	16.63	21	0.5122	36.04						0.00	0.00	0.00	0.00	0.00	36.04	0.00	11/26/2012	
SC	20122013	13	0001	003	PLATTSMOUTH MIDDLE SCHOOL	48776	16.95	25	0.5952	36.76						0.00	0.00	0.00	0.00	0.00	36.76	0.00	07/05/2013	
SC	20082009	13	0001	009	PLATTSMOUTH ELEMENTARY SCHOOL	42965	13.49	23	0.5111	45.00	0.00	0.00	0.00	0.00	45.00								11/26/2012	
SC	20092010	13	0001	009	PLATTSMOUTH ELEMENTARY SCHOOL	40763	13.81	26	0.5532	46.50	0.00	0.00	0.00	0.00	46.50								11/26/2012	
SC	20102011	13	0001	009	PLATTSMOUTH ELEMENTARY SCHOOL	42702	13.84	26	0.5200	48.35						0.00	0.00	0.00	0.00	0.00	48.35	0.00	11/26/2012	
SC	20112012	13	0001	009	PLATTSMOUTH ELEMENTARY SCHOOL	44238	14.04	23	0.5000	44.55						0.00	0.00	0.00	0.00	0.00	44.55	0.00	11/26/2012	
SC	20122013	13	0001	009	PLATTSMOUTH ELEMENTARY SCHOOL	45328	14.17	26	0.5652	43.88						0.00	0.00	0.00	0.00	0.00	43.88	0.00	07/05/2013	
SC	20082009	13	0001	010	PLATTSMOUTH EARLY CHILDHOOD	35959	8.67	0	0.0000	6.00	0.00	0.00	0.00	0.00	6.00								11/26/2012	
SC	20092010	13	0001	010	PLATTSMOUTH EARLY CHILDHOOD	37504	11.00	1	0.1000	10.00	0.00	0.00	0.00	0.00	10.00								11/26/2012	
SC	20102011	13	0001	010	PLATTSMOUTH EARLY CHILDHOOD	38848	11.30	2	0.2000	10.00						0.00	0.00	0.00	0.00	0.00	10.00	0.00	11/26/2012	
SC	20112012	13	0001	010	PLATTSMOUTH EARLY CHILDHOOD	39818	12.30	1	0.1000	10.00						0.00	0.00	0.00	0.00	0.00	10.00	0.00	11/26/2012	
SC	20122013	13	0001	010	PLATTSMOUTH EARLY CHILDHOOD	41416	10.38	6	0.4615	12.05						0.00	0.00	0.00	0.00	0.00	12.05	0.00	07/05/2013	
DI	20082009	13	0022	000	WEEPING WATER PUBLIC SCHOOLS	40886	15.25	17	0.5313	32.00	0.00	0.00	0.00	0.00	32.00								11/26/2012	
DI	20092010	13	0022	000	WEEPING WATER PUBLIC SCHOOLS	43034	15.13	18	0.5625	31.40	0.00	0.00	0.00	0.00	31.40								11/26/2012	
DI	20102011	13	0022	000	WEEPING WATER PUBLIC SCHOOLS	44884	16.64	19	0.5758	31.75						0.00	0.00	0.00	0.00	0.00	31.75	0.00	11/26/2012	
DI	20112012	13	0022	000	WEEPING WATER PUBLIC SCHOOLS	44344	17.24	20	0.6061	31.60						0.00	0.00	0.00	0.00	0.00	31.60	0.00	11/26/2012	
DI	20122013	13	0022	000	WEEPING WATER PUBLIC SCHOOLS	47116	17.24	20	0.6061	31.60						0.00	0.00	0.00	0.00	0.00	31.60	0.00	07/05/2013	
SC	20082009	13	0022	001	WEEPING WATER HIGH SCHOOL	39579	14.83	9	0.5000	16.25	0.00	0.00	0.00	0.00	16.25								11/26/2012	
SC	20092010	13	0022	001	WEEPING WATER HIGH SCHOOL	41785	14.83	10	0.5556	16.25	0.00	0.00	0.00	0.00	16.25								11/26/2012	
SC	20102011	13	0022	001	WEEPING WATER HIGH SCHOOL	43092	15.63	10	0.5263	16.50						0.00	0.00	0.00	0.00	0.00	16.50	0.00	11/26/2012	
SC	20112012	13	0022	001	WEEPING WATER HIGH SCHOOL	43803	15.95	10	0.5263	16.35						0.00	0.00	0.00	0.00	0.00	16.35	0.00	11/26/2012	
SC	20122013	13	0022	001	WEEPING WATER HIGH SCHOOL	44991	15.89	11	0.5789	16.35						0.00	0.00	0.00	0.00	0.00	16.35	0.00	07/05/2013	
SC	20082009	13	0022	002	WEEPING WATER ELEMENTARY SCH	41565	15.94	9	0.5000	15.75	0.00	0.00	0.00	0.00	15.75								11/26/2012	
SC	20092010	13	0022	002	WEEPING WATER ELEMENTARY SCHOOL	43654	15.94	9	0.5294	15.15	0.00	0.00	0.00	0.00	15.15								11/26/2012	
SC	20102011	13	0022	002	WEEPING WATER ELEMENTARY SCHOOL	46272	18.29	10	0.5882	15.25						0.00	0.00	0.00	0.00	0.00	15.25	0.00	11/26/2012	
SC	20112012	13	0022	002	WEEPING WATER ELEMENTARY SCHOOL	44640	19.29	11	0.6471	15.25						0.00	0.00	0.00	0.00	0.00	15.25	0.00	11/26/2012	
SC	20122013	13	0022	002	WEEPING WATER ELEMENTARY SCHOOL	48808	19.35	11	0.6471	15.25						0.00	0.00	0.00	0.00	0.00	15.25	0.00	07/05/2013	
DI	20082009	13	0032	000	LOUISVILLE PUBLIC SCHOOLS	41987	14.10	25	0.6098	38.25	0.00	0.00	0.00	0.00	38.25								11/26/2012	
DI	20092010	13	0032	000	LOUISVILLE PUBLIC SCHOOLS	42996	13.02	24	0.5581	39.40	0.00	0.00	0.00	0.00	39.40								11/26/2012	
DI	20102011	13	0032	000	LOUISVILLE PUBLIC SCHOOLS	44918	13.93	25	0.5682	40.40						0.00	0.00	0.00	0.00	0.00	40.40	0.00	11/26/2012	
DI	20112012	13	0032	000	LOUISVILLE PUBLIC SCHOOLS	45617	12.80	25	0.5556	39.90						0.00	0.00	0.00	0.00	0.00	39.90	0.00	11/26/2012	
DI	20122013	13	0032	000	LOUISVILLE PUBLIC SCHOOLS	47478	13.76	26	0.5652	41.05						0.00	0.00	0.00	0.00	0.00	41.05	0.00	07/05/2013	
SC	20082009	13	0032	001	LOUISVILLE HIGH SCHOOL	38188	9.71	7	0.3333	13.55	0.00	0.00	0.00	0.00	13.55								11/26/2012	
SC	20092010	13	0032	001	LOUISVILLE HIGH SCHOOL	40421	10.23	7	0.3182	13.30	0.00	0.00	0.00	0.00	13.30								11/26/2012	
SC	20102011	13	0032	001	LOUISVILLE HIGH SCHOOL	42771	11.64	8	0.3636	13.40						0.00	0.00	0.00	0.00	0.00	13.40	0.00	11/26/2012	
SC	20112012	13	0032	001	LOUISVILLE HIGH SCHOOL	43933	10.26	7	0.3684	12.95						0.00	0.00	0.00	0.00	0.00	12.95	0.00	11/26/2012	
SC	20122013	13	0032	001	LOUISVILLE HIGH SCHOOL	46070	12.18	9	0.4091	14.60						0.00	0.00	0.00	0.00	0.00	14.60	0.00	07/05/2013	
SC	20082009	13	0032	002	LOUISVILLE ELEMENTARY SCHOOL	44814	16.40	15	0.7500	15.20	0.00	0.00	0.00	0.00	15.20								11/26/2012	
SC	20092010	13	0032	002	LOUISVILLE ELEMENTARY SCHOOL	44388	13.24	14	0.6667	16.50	0.00	0.00	0.00	0.00	16.50								11/26/2012	
SC	20102011	13	0032	002	LOUISVILLE ELEMENTARY SCHOOL	45882	13.73	14	0.6364	17.40						0.00	0.00	0.00	0.00	0.00	17.40	0.00	11/26/2012	
SC	20112012	13	0032	002	LOUISVILLE ELEMENTARY SCHOOL	47185	12.86	14	0.6364	17.00						0.00	0.00	0.00	0.00	0.00	17.00	0.00	11/26/2012	
SC	20122013	13	0032	002	LOUISVILLE ELEMENTARY SCHOOL	48776	13.91	14	0.6364	17.40						0.00	0.00	0.00	0.00	0.00	17.40	0.00	07/05/2013	
SC	20082009	13	0032	003	LOUISVILLE MIDDLE SCHOOL	40290	13.27	10	0.4545	9.50	0.00	0.00	0.00	0.00	9.50								11/26/2012	
SC	20092010	13	0032	003	LOUISVILLE MIDDLE SCHOOL	43798	15.41	11	0.5000	9.60	0.00	0.00	0.00	0.00	9.60								11/26/2012	
SC	20102011	13	0032	003	LOUISVILLE MIDDLE SCHOOL	45912	16.73	11	0.5000	9.60						0.00	0.00	0.00	0.00	0.00	9.60	0.00	11/26/2012	
SC	20112012	13	0032	003	LOUISVILLE MIDDLE SCHOOL	46463	14.88	11	0.4583	9.95						0.00	0.00	0.00	0.00	0.00	9.95	0.00	11/26/2012	
SC	20122013	13	0032	003	LOUISVILLE MIDDLE SCHOOL	47018	15.38	13	0.5417	9.05						0.00	0.00	0.00	0.00	0.00	9.05	0.00	07/05/2013	
DI	20082009	13	0056	000	CONESTOGA PUBLIC SCHOOLS	36811	12.34	20	0.3774	51.00	0.00	0.00	0.00	1.00	50.00								11/26/2012	
DI	20092010	13	0056	000	CONESTOGA PUBLIC SCHOOLS	-3	13.18	22	0.4000	53.75	0.00	0.00	0.00	1.00	52.75								11/26/2012	
DI	20102011	13	0056	000	CONESTOGA PUBLIC SCHOOLS	-3	13.04	22	0.4000	54.00						0.00	0.00	0.00	1.00	0.00	53.00	0.00	11/26/2012	
DI	20112012	13	0056	000	CONESTOGA PUBLIC SCHOOLS	44674	13.21	23	0.4340	52.00						0.00	0.00	0.00	1.00	0.00	51.00	0.00	11/26/2012	
DI	20122013	13	0056	000	CONESTOGA PUBLIC SCHOOLS	45154	10.87	23	0.4340	50.02						0.00	0.00	0.00	1.00	0.00	49.02	0.00	07/05/2013	
SC	20082009	13	0056	001	CONESTOGA JR/SR HIGH SCHOOL	36811	11.17	7	0.2917	23.00	0.00	0.00	0.00	0.00	23.00								11/26/2012	
SC	20092010	13	0056	001	CONESTOGA JR/SR HIGH SCHOOL	-3	14.33	13	0.4815	25.25	0.00	0.00	0.00	0.00	25.25								11/26/2012	
SC	20102011	13	0056	001	CONESTOGA JR/SR HIGH SCHOOL	-3	13.00	8	0.3333	22.25						0.00	0.00	0.00	0.00	0.00	22.25	0.00	11/26/2012	
SC	20112012	13	0056	001	CONESTOGA JR/SR HIGH SCHOOL	44404	13.42	11	0.4231	25.50						0.00	0.00	0.00	0.00	0.00	25.50	0.00	11/26/2012	
SC	20122013	13	0056	001	CONESTOGA JR/SR HIGH SCHOOL	45914	13.08	12	0.4615	25.50						0.00	0.00	0.00	0.00	0.00	25.50	0.00	07/05/2013	
SC	20082009	13	0056	002	CONESTOGA ELEMENTARY SCHOOL	-3	13.85	12	0.4444	26.50	0.00	0.00	0.00	1.00	25.50								11/26/2012	
SC	20092010	13	0056	002	CONESTOGA ELEMENTARY SCHOOL	-3	12.41	10	0.3448	28.50	0.00	0.00	0.00	1.00	27.50								11/26/2012	
SC	20102011	13	0056	002	CONESTOGA ELEMENTARY SCHOOL	-3	12.38	11	0.3793	28.75						0.00	0.00	0.00	1.00	0.00	27.75	0.00	11/26/2012	
SC	20112012	13	0056	002	CONESTOGA ELEMENTARY SCHOOL	44934	13.00	12	0.4444	26.50						0.00	0.00	0.00	1.00	0.00	25.50	0.00	11/26/2012	
SC	20122013	13	0056	002	CONESTOGA ELEMENTARY SCHOOL	44362	8.74	11	0.4074	24.52						0.00	0.00	0.00	1.00	0.00	23.52	0.00	07/05/2013	
SC	20082009	13	0056	005	CONESTOGA ALTERNATIVE PROGRAM	-3	6.00	1	0.5000	1.50	0.00	0.00	0.00	0.00	1.50								11/26/2012	
SC	20102011	13	0056	005	CONESTOGA ALTERNATIVE PROGRAM	-3	15.67	3	1.0000	3.00						0.00	0.00	0.00	0.00	0.00	3.00	0.00	11/26/2012	
DI	20082009	13	0097	000	ELMWOOD-MURDOCK PUBLIC SCHOOLS	42130	14.78	20	0.5556	34.93	0.00	0.00	0.00	1.00	33.93								11/26/2012	
DI	20092010	13	0097	000	ELMWOOD-MURDOCK PUBLIC SCHOOLS	43724	14.47	20	0.5556	34.63	0.00	0.00	0.00	1.00	33.63								11/26/2012	
DI	20102011	13	0097	000	ELMWOOD-MURDOCK PUBLIC SCHOOLS	45906	15.39	21	0.5833	34.93						0.00	0.00	0.00	1.00	0.00	33.93	0.00	11/26/2012	
DI	20112012	13	0097	000	ELMWOOD-MURDOCK PUBLIC SCHOOLS	47747	16.56	21	0.5833	34.73						0.00	0.00	0.00	1.00	0.00	33.73	0.00	11/26/2012	
DI	20122013	13	0097	000	ELMWOOD-MURDOCK PUBLIC SCHOOLS	47935	16.14	23	0.6216	35.18						0.00	0.00	0.00	1.00	0.00	34.18	0.00	07/05/2013	
SC	20082009	13	0097	001	ELMWOOD-MURDOCK JR/SR HIGH SCH	41457	14.50	10	0.5000	17.92	0.00	0.00	0.00	1.00	16.92								11/26/2012	
SC	20092010	13	0097	001	ELMWOOD-MURDOCK JR/SR HIGH SCH	43280	14.50	9	0.4500	17.62	0.00	0.00	0.00	1.00	16.62								11/26/2012	
SC	20102011	13	0097	001	ELMWOOD-MURDOCK JR/SR HIGH SCH	44936	15.35	8	0.4000	17.92						0.00	0.00	0.00	1.00	0.00	16.92	0.00	11/26/2012	
SC	20112012	13	0097	001	ELMWOOD-MURDOCK JR/SR HIGH SCH	46758	16.65	8	0.4000	17.72						0.00	0.00	0.00	1.00	0.00	16.72	0.00	11/26/2012	
SC	20122013	13	0097	001	ELMWOOD-MURDOCK JR/SR HIGH SCH	46519	15.75	10	0.5000	17.67						0.00	0.00	0.00	1.00	0.00	16.67	0.00	07/05/2013	
SC	20082009	13	0097	004	ELMWOOD-MURDOCK ELEM SCHOOL	43291	14.95	13	0.6842	17.01	0.00	0.00	0.00	0.00	17.01								11/26/2012	
SC	20092010	13	0097	004	ELMWOOD-MURDOCK ELEM SCHOOL	44864	14.53	14	0.7368	17.01	0.00	0.00	0.00	0.00	17.01								11/26/2012	
SC	20102011	13	0097	004	ELMWOOD-MURDOCK ELEM SCHOOL	47737	15.53	16	0.8421	17.01						0.00	0.00	0.00	0.00	0.00	17.01	0.00	11/26/2012	
SC	20112012	13	0097	004	ELMWOOD-MURDOCK ELEM SCHOOL	49367	16.53	16	0.8421	17.01						0.00	0.00	0.00	0.00	0.00	17.01	0.00	11/26/2012	
SC	20122013	13	0097	004	ELMWOOD-MURDOCK ELEM SCHOOL	50149	16.80	16	0.8000	17.51						0.00	0.00	0.00	0.00	0.00	17.51	0.00	07/05/2013	
DI	20082009	14	0008	000	HARTINGTON PUBLIC SCHOOLS	44005	21.30	21	0.6364	29.70	0.00	0.00	0.00	0.00	29.70								11/26/2012	
DI	20092010	14	0008	000	HARTINGTON PUBLIC SCHOOLS	46692	22.26	21	0.6176	28.96	0.00	0.00	0.00	0.00	28.96								11/26/2012	
DI	20102011	14	0008	000	HARTINGTON PUBLIC SCHOOLS	51344	23.84	21	0.6774	27.53						0.00	0.00	0.00	0.00	0.00	27.53	0.00	11/26/2012	
DI	20112012	14	0008	000	HARTINGTON PUBLIC SCHOOLS	47849	23.50	23	0.7188	28.95						2.00	0.00	0.00	0.00	0.00	26.95	0.00	11/26/2012	
DI	20122013	14	0008	000	HARTINGTON PUBLIC SCHOOLS	49171	24.50	24	0.7500	28.70						0.00	0.00	0.00	0.00	0.00	28.70	0.00	07/05/2013	
SC	20082009	14	0008	001	HARTINGTON HIGH SCHOOL	44789	20.15	11	0.5500	15.55	0.00	0.00	0.00	0.00	15.55								11/26/2012	
SC	20092010	14	0008	001	HARTINGTON HIGH SCHOOL	45852	21.14	11	0.5238	15.06	0.00	0.00	0.00	0.00	15.06								11/26/2012	
SC	20102011	14	0008	001	HARTINGTON HIGH SCHOOL	51459	22.00	11	0.5789	14.05						0.00	0.00	0.00	0.00	0.00	14.05	0.00	11/26/2012	
SC	20112012	14	0008	001	HARTINGTON HIGH SCHOOL	46220	21.74	12	0.6316	15.08						2.00	0.00	0.00	0.00	0.00	13.08	0.00	11/26/2012	
SC	20122013	14	0008	001	HARTINGTON HIGH SCHOOL	47599	22.58	13	0.6842	14.70						0.00	0.00	0.00	0.00	0.00	14.70	0.00	07/05/2013	
SC	20082009	14	0008	002	HARTINGTON ELEMENTARY SCHOOL	43242	22.69	12	0.7500	14.15	0.00	0.00	0.00	0.00	14.15								11/26/2012	
SC	20092010	14	0008	002	HARTINGTON ELEMENTARY SCHOOL	47506	24.29	13	0.7647	13.90	0.00	0.00	0.00	0.00	13.90								11/26/2012	
SC	20102011	14	0008	002	HARTINGTON ELEMENTARY SCHOOL	49942	25.35	14	0.8235	13.48						0.00	0.00	0.00	0.00	0.00	13.48	0.00	11/26/2012	
SC	20112012	14	0008	002	HARTINGTON ELEMENTARY SCHOOL	48784	24.59	14	0.8235	13.87						0.00	0.00	0.00	0.00	0.00	13.87	0.00	11/26/2012	
